window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,2,2,3,4,0,97,130,0,0,0
1,0,1,9,9,2,2,3,4,0,107,143,0,0,0
2,1,0,9,9,2,2,3,4,9,126,165,0,0,0
3,1,1,9,9,2,2,3,4,9,139,184,0,0,0
4,2,0,9,9,2,2,3,4,1,161,204,0,0,0
5,2,1,9,9,2,2,3,4,1,180,217,0,0,0
6,3,0,9,9,2,2,3,4,2,200,239,0,0,0
7,3,1,9,9,2,2,3,4,2,213,252,0,0,0
8,4,0,9,9,2,2,3,4,3,235,274,0,0,0
9,4,1,9,9,2,2,3,4,3,248,287,0,0,0
10,5,0,9,9,2,2,3,4,4,270,309,0,0,0
11,5,1,9,9,2,2,3,4,4,283,325,0,0,0
12,6,0,9,9,2,2,3,4,5,305,346,0,0,0
13,6,1,9,9,2,2,3,4,5,321,362,0,0,0
14,7,0,9,9,2,2,3,4,6,342,383,0,0,0
15,7,1,9,9,2,2,3,4,6,358,402,0,0,0
16,8,0,9,9,2,2,3,4,7,379,422,0,0,0
17,8,1,9,9,2,2,3,4,7,398,441,0,0,0
18,9,0,9,9,2,2,3,4,8,418,461,0,0,0
19,9,1,9,9,2,2,3,4,8,437,477,0,0,0
20,10,0,9,9,2,2,3,4,9,457,498,0,0,0
21,10,1,9,9,2,2,3,4,9,473,517,0,0,0
22,11,0,9,9,2,2,3,4,9,494,537,0,0,0
23,11,1,9,9,2,2,3,4,9,513,556,0,0,0
24,12,0,9,9,2,2,3,4,4,533,576,0,0,0
25,12,1,9,9,2,2,3,4,4,552,592,0,0,0
26,13,0,9,9,2,2,3,4,0,572,613,0,0,0
27,13,1,9,9,2,2,3,4,0,588,626,0,0,0
