window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
91,45,1,576,128,8,2,1,333,814040,819975,12,0,0
92,46,0,576,128,8,2,1,351,819976,829799,12,0,0
93,46,1,576,128,8,2,1,351,829800,836023,12,0,0
94,47,0,576,128,8,2,1,323,836024,845847,12,0,0
95,47,1,576,128,8,2,1,323,845848,851623,12,0,0
96,48,0,576,128,8,2,1,316,851624,861447,12,0,0
97,48,1,576,128,8,2,1,316,861448,867111,12,0,0
98,49,0,576,128,8,2,1,332,867112,876935,12,0,0
99,49,1,576,128,8,2,1,332,876936,882855,12,0,0
100,50,0,576,128,8,2,1,327,882856,892679,12,0,0
101,50,1,576,128,8,2,1,327,892680,898519,12,0,0
102,51,0,576,128,8,2,1,320,898520,908343,12,0,0
103,51,1,576,128,8,2,1,320,908344,914071,12,0,0
104,52,0,576,128,8,2,1,315,914072,923895,12,0,0
105,52,1,576,128,8,2,1,315,923896,929543,12,0,0
106,53,0,576,128,8,2,1,344,929544,939367,12,0,0
107,53,1,576,128,8,2,1,344,939368,945479,12,0,0
108,54,0,576,128,8,2,1,401,945480,955303,12,0,0
109,54,1,576,128,8,2,1,401,955304,962327,12,0,0
110,55,0,576,128,8,2,1,359,962328,972151,12,0,0
111,55,1,576,128,8,2,1,359,972152,978503,12,0,0
112,56,0,576,128,8,2,1,314,978504,988327,12,0,0
113,56,1,576,128,8,2,1,314,988328,993959,12,0,0
114,57,0,576,128,8,2,1,307,993960,1003783,12,0,0
115,57,1,576,128,8,2,1,307,1003784,1009303,12,0,0
116,58,0,576,128,8,2,1,345,1009304,1019127,12,0,0
117,58,1,576,128,8,2,1,345,1019128,1025255,12,0,0
118,59,0,576,128,8,2,1,371,1025256,1035079,12,0,0
119,59,1,576,128,8,2,1,371,1035080,1041623,12,0,0
120,60,0,576,128,8,2,1,374,1041624,1051447,12,0,0
121,60,1,576,128,8,2,1,374,1051448,1058039,12,0,0
122,61,0,576,128,8,2,1,335,1058040,1067863,12,0,0
123,61,1,576,128,8,2,1,335,1067864,1073831,12,0,0
124,62,0,576,128,8,2,1,334,1073832,1083655,12,0,0
125,62,1,576,128,8,2,1,334,1083656,1089607,12,0,0
126,63,0,576,128,8,2,1,364,1089608,1099431,12,0,0
127,63,1,576,128,8,2,1,364,1099432,1105863,12,0,0
128,64,0,576,128,8,2,1,235,1105864,1115687,12,0,0
129,64,1,576,128,8,2,1,235,1115688,1120055,12,0,0
130,65,0,576,128,8,2,1,220,1120056,1129879,12,0,0
131,65,1,576,128,8,2,1,220,1129880,1134007,12,0,0
132,66,0,576,128,8,2,1,262,1134008,1143831,12,0,0
133,66,1,576,128,8,2,1,262,1143832,1148631,12,0,0
134,67,0,576,128,8,2,1,219,1148632,1158455,12,0,0
135,67,1,576,128,8,2,1,219,1158456,1162567,12,0,0
136,68,0,576,128,8,2,1,245,1162568,1172391,12,0,0
137,68,1,576,128,8,2,1,245,1172392,1176919,12,0,0
