window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,2,2,1,1,0,97,174,12,0,0
1,0,1,9,9,2,2,1,1,0,175,225,12,0,0
2,1,0,9,9,2,2,1,1,9,226,302,12,0,0
3,1,1,9,9,2,2,1,1,9,303,368,12,0,0
4,2,0,9,9,2,2,1,1,1,369,446,12,0,0
5,2,1,9,9,2,2,1,1,1,447,494,12,0,0
6,3,0,9,9,2,2,1,1,2,495,560,12,0,0
7,3,1,9,9,2,2,1,1,2,561,622,12,0,0
8,4,0,9,9,2,2,1,1,3,623,688,12,0,0
9,4,1,9,9,2,2,1,1,3,689,750,12,0,0
10,5,0,9,9,2,2,1,1,4,751,816,12,0,0
11,5,1,9,9,2,2,1,1,4,817,878,12,0,0
12,6,0,9,9,2,2,1,1,5,879,944,12,0,0
13,6,1,9,9,2,2,1,1,5,945,1006,12,0,0
14,7,0,9,9,2,2,1,1,6,1007,1072,12,0,0
15,7,1,9,9,2,2,1,1,6,1073,1134,12,0,0
16,8,0,9,9,2,2,1,1,7,1135,1200,12,0,0
17,8,1,9,9,2,2,1,1,7,1201,1262,12,0,0
18,9,0,9,9,2,2,1,1,8,1263,1328,12,0,0
19,9,1,9,9,2,2,1,1,8,1329,1392,12,0,0
20,10,0,9,9,2,2,1,1,9,1393,1470,12,0,0
21,10,1,9,9,2,2,1,1,9,1471,1536,12,0,0
22,11,0,9,9,2,2,1,1,9,1537,1614,12,0,0
23,11,1,9,9,2,2,1,1,9,1615,1680,12,0,0
24,12,0,9,9,2,2,1,1,4,1681,1758,12,0,0
25,12,1,9,9,2,2,1,1,4,1759,1822,12,0,0
26,13,0,9,9,2,2,1,1,0,1823,1888,12,0,0
27,13,1,9,9,2,2,1,1,0,1889,1937,12,0,0
