window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,27,9,4,2,3,4,0,429,508,12,0,1
1,0,1,27,9,4,2,3,4,0,465,554,12,0,1
2,1,0,27,9,4,2,3,4,27,501,587,12,0,1
3,1,1,27,9,4,2,3,4,27,537,634,12,0,1
4,2,0,27,9,4,2,3,4,1,577,667,12,0,1
5,2,1,27,9,4,2,3,4,1,613,714,12,0,1
6,3,0,27,9,4,2,3,4,2,657,747,12,0,1
7,3,1,27,9,4,2,3,4,2,693,794,12,0,1
8,4,0,27,9,4,2,3,4,3,737,827,12,0,1
9,4,1,27,9,4,2,3,4,3,773,874,12,0,1
10,5,0,27,9,4,2,3,4,4,817,907,12,0,1
11,5,1,27,9,4,2,3,4,4,853,954,12,0,1
12,6,0,27,9,4,2,3,4,5,897,987,12,0,1
13,6,1,27,9,4,2,3,4,5,933,1034,12,0,1
14,7,0,27,9,4,2,3,4,6,977,1067,12,0,1
15,7,1,27,9,4,2,3,4,6,1013,1114,12,0,1
16,8,0,27,9,4,2,3,4,7,1057,1147,12,0,1
17,8,1,27,9,4,2,3,4,7,1093,1194,12,0,1
18,9,0,27,9,4,2,3,4,8,1137,1227,12,0,1
19,9,1,27,9,4,2,3,4,8,1173,1274,12,0,1
20,10,0,27,9,4,2,3,4,9,1217,1307,12,0,1
21,10,1,27,9,4,2,3,4,9,1253,1354,12,0,1
22,11,0,27,9,4,2,3,4,10,1297,1387,12,0,1
23,11,1,27,9,4,2,3,4,10,1333,1434,12,0,1
24,12,0,27,9,4,2,3,4,11,1377,1467,12,0,1
25,12,1,27,9,4,2,3,4,11,1413,1514,12,0,1
26,13,0,27,9,4,2,3,4,12,1457,1547,12,0,1
27,13,1,27,9,4,2,3,4,12,1493,1594,12,0,1
28,14,0,27,9,4,2,3,4,13,1537,1627,12,0,1
29,14,1,27,9,4,2,3,4,13,1573,1674,12,0,1
30,15,0,27,9,4,2,3,4,14,1617,1707,12,0,1
31,15,1,27,9,4,2,3,4,14,1653,1754,12,0,1
32,16,0,27,9,4,2,3,4,15,1697,1787,12,0,1
33,16,1,27,9,4,2,3,4,15,1733,1834,12,0,1
34,17,0,27,9,4,2,3,4,16,1777,1867,12,0,1
35,17,1,27,9,4,2,3,4,16,1813,1914,12,0,1
36,18,0,27,9,4,2,3,4,17,1857,1947,12,0,1
37,18,1,27,9,4,2,3,4,17,1893,1994,12,0,1
38,19,0,27,9,4,2,3,4,18,1937,2027,12,0,1
39,19,1,27,9,4,2,3,4,18,1973,2074,12,0,1
40,20,0,27,9,4,2,3,4,19,2017,2107,12,0,1
41,20,1,27,9,4,2,3,4,19,2053,2154,12,0,1
42,21,0,27,9,4,2,3,4,20,2097,2187,12,0,1
43,21,1,27,9,4,2,3,4,20,2133,2234,12,0,1
44,22,0,27,9,4,2,3,4,21,2177,2267,12,0,1
45,22,1,27,9,4,2,3,4,21,2213,2314,12,0,1
46,23,0,27,9,4,2,3,4,22,2257,2347,12,0,1
47,23,1,27,9,4,2,3,4,22,2293,2394,12,0,1
48,24,0,27,9,4,2,3,4,23,2337,2427,12,0,1
49,24,1,27,9,4,2,3,4,23,2373,2474,12,0,1
50,25,0,27,9,4,2,3,4,24,2417,2507,12,0,1
51,25,1,27,9,4,2,3,4,24,2453,2554,12,0,1
52,26,0,27,9,4,2,3,4,25,2497,2587,12,0,1
53,26,1,27,9,4,2,3,4,25,2533,2634,12,0,1
54,27,0,27,9,4,2,3,4,26,2577,2667,12,0,1
55,27,1,27,9,4,2,3,4,26,2613,2714,12,0,1
56,28,0,27,9,4,2,3,4,27,2657,2747,12,0,1
57,28,1,27,9,4,2,3,4,27,2693,2794,12,0,1
58,29,0,27,9,4,2,3,4,27,2737,2827,12,0,1
59,29,1,27,9,4,2,3,4,27,2773,2874,12,0,1
60,30,0,27,9,4,2,3,4,13,2817,2907,12,0,1
61,30,1,27,9,4,2,3,4,13,2853,2954,12,0,1
62,31,0,27,9,4,2,3,4,0,2897,2987,12,0,1
63,31,1,27,9,4,2,3,4,0,2933,3034,12,0,1
