window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,27,9,4,2,2,0,448,579,12,1,1
1,0,1,27,9,4,2,2,0,484,590,12,1,1
2,1,0,27,9,4,2,2,27,565,692,12,1,1
3,1,1,27,9,4,2,2,27,601,766,12,1,1
4,2,0,27,9,4,2,2,1,682,847,12,1,1
5,2,1,27,9,4,2,2,1,763,858,12,1,1
6,3,0,27,9,4,2,2,2,844,964,12,1,1
7,3,1,27,9,4,2,2,2,880,976,12,1,1
8,4,0,27,9,4,2,2,3,961,1081,12,1,1
9,4,1,27,9,4,2,2,3,997,1094,12,1,1
10,5,0,27,9,4,2,2,4,1078,1199,12,1,1
11,5,1,27,9,4,2,2,4,1114,1213,12,1,1
12,6,0,27,9,4,2,2,5,1195,1315,12,1,1
13,6,1,27,9,4,2,2,5,1231,1332,12,1,1
14,7,0,27,9,4,2,2,6,1312,1432,12,1,1
15,7,1,27,9,4,2,2,6,1348,1451,12,1,1
16,8,0,27,9,4,2,2,7,1429,1549,12,1,1
17,8,1,27,9,4,2,2,7,1465,1570,12,1,1
18,9,0,27,9,4,2,2,8,1546,1666,12,1,1
19,9,1,27,9,4,2,2,8,1582,1690,12,1,1
20,10,0,27,9,4,2,2,9,1663,1783,12,1,1
21,10,1,27,9,4,2,2,9,1699,1822,12,1,1
22,11,0,27,9,4,2,2,10,1780,1900,12,1,1
23,11,1,27,9,4,2,2,10,1816,1939,12,1,1
24,12,0,27,9,4,2,2,11,1897,2022,12,1,1
25,12,1,27,9,4,2,2,11,1933,2065,12,1,1
26,13,0,27,9,4,2,2,12,2019,2161,12,1,1
27,13,1,27,9,4,2,2,12,2062,2188,12,1,1
28,14,0,27,9,4,2,2,13,2143,2274,12,1,1
29,14,1,27,9,4,2,2,13,2185,2308,12,1,1
30,15,0,27,9,4,2,2,14,2266,2389,12,1,1
31,15,1,27,9,4,2,2,14,2305,2431,12,1,1
32,16,0,27,9,4,2,2,15,2386,2512,12,1,1
33,16,1,27,9,4,2,2,15,2428,2557,12,1,1
34,17,0,27,9,4,2,2,16,2509,2638,12,1,1
35,17,1,27,9,4,2,2,16,2554,2686,12,1,1
36,18,0,27,9,4,2,2,17,2635,2767,12,1,1
37,18,1,27,9,4,2,2,17,2683,2818,12,1,1
38,19,0,27,9,4,2,2,18,2764,2900,12,1,1
39,19,1,27,9,4,2,2,18,2815,2957,12,1,1
40,20,0,27,9,4,2,2,19,2896,3040,12,1,1
41,20,1,27,9,4,2,2,19,2950,3097,12,1,1
42,21,0,27,9,4,2,2,20,3037,3178,12,1,1
43,21,1,27,9,4,2,2,20,3094,3238,12,1,1
44,22,0,27,9,4,2,2,21,3175,3320,12,1,1
45,22,1,27,9,4,2,2,21,3235,3383,12,1,1
46,23,0,27,9,4,2,2,22,3316,3463,12,1,1
47,23,1,27,9,4,2,2,22,3379,3530,12,1,1
48,24,0,27,9,4,2,2,23,3460,3610,12,1,1
49,24,1,27,9,4,2,2,23,3526,3679,12,1,1
50,25,0,27,9,4,2,2,24,3607,3761,12,1,1
51,25,1,27,9,4,2,2,24,3676,3832,12,1,1
52,26,0,27,9,4,2,2,25,3757,3913,12,1,1
53,26,1,27,9,4,2,2,25,3829,3988,12,1,1
54,27,0,27,9,4,2,2,26,3910,4083,12,1,1
55,27,1,27,9,4,2,2,26,3985,4147,12,1,1
56,28,0,27,9,4,2,2,27,4066,4228,12,1,1
57,28,1,27,9,4,2,2,27,4144,4309,12,1,1
58,29,0,27,9,4,2,2,27,4225,4391,12,1,1
59,29,1,27,9,4,2,2,27,4306,4471,12,1,1
60,30,0,27,9,4,2,2,13,4387,4552,12,1,1
61,30,1,27,9,4,2,2,13,4468,4591,12,1,1
62,31,0,27,9,4,2,2,0,4549,4672,12,1,1
63,31,1,27,9,4,2,2,0,4588,4682,12,1,1
