window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,1,2,1,1,0,97,192,0,0,0
1,0,1,9,9,1,2,1,1,0,193,220,0,0,0
2,1,0,9,9,1,2,1,1,9,221,316,0,0,0
3,1,1,9,9,1,2,1,1,9,317,412,0,0,0
4,2,0,9,9,1,2,1,1,1,413,508,0,0,0
5,2,1,9,9,1,2,1,1,1,509,540,0,0,0
6,3,0,9,9,1,2,1,1,2,541,636,0,0,0
7,3,1,9,9,1,2,1,1,2,637,673,0,0,0
8,4,0,9,9,1,2,1,1,3,674,769,0,0,0
9,4,1,9,9,1,2,1,1,3,770,811,0,0,0
10,5,0,9,9,1,2,1,1,4,812,907,0,0,0
11,5,1,9,9,1,2,1,1,4,908,958,0,0,0
12,6,0,9,9,1,2,1,1,5,959,1054,0,0,0
13,6,1,9,9,1,2,1,1,5,1055,1114,0,0,0
14,7,0,9,9,1,2,1,1,6,1115,1210,0,0,0
15,7,1,9,9,1,2,1,1,6,1211,1279,0,0,0
16,8,0,9,9,1,2,1,1,7,1280,1375,0,0,0
17,8,1,9,9,1,2,1,1,7,1376,1453,0,0,0
18,9,0,9,9,1,2,1,1,8,1454,1549,0,0,0
19,9,1,9,9,1,2,1,1,8,1550,1636,0,0,0
20,10,0,9,9,1,2,1,1,9,1637,1732,0,0,0
21,10,1,9,9,1,2,1,1,9,1733,1828,0,0,0
22,11,0,9,9,1,2,1,1,9,1829,1924,0,0,0
23,11,1,9,9,1,2,1,1,9,1925,2020,0,0,0
24,12,0,9,9,1,2,1,1,4,2021,2116,0,0,0
25,12,1,9,9,1,2,1,1,4,2117,2167,0,0,0
26,13,0,9,9,1,2,1,1,0,2168,2263,0,0,0
27,13,1,9,9,1,2,1,1,0,2264,2291,0,0,0
