window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
85,42,1,576,128,8,2,3,8,327,160169,162164,0,0,0
86,43,0,576,128,8,2,3,8,388,161321,163316,0,0,0
87,43,1,576,128,8,2,3,8,388,162153,164212,0,0,0
88,44,0,576,128,8,2,3,8,338,163305,165364,0,0,0
89,44,1,576,128,8,2,3,8,338,164201,166324,0,0,0
90,45,0,576,128,8,2,3,8,333,165353,167476,0,0,0
91,45,1,576,128,8,2,3,8,333,166313,168436,0,0,0
92,46,0,576,128,8,2,3,8,351,167465,169588,0,0,0
93,46,1,576,128,8,2,3,8,351,168425,170420,0,0,0
94,47,0,576,128,8,2,3,8,323,169577,171572,0,0,0
95,47,1,576,128,8,2,3,8,323,170409,172468,0,0,0
96,48,0,576,128,8,2,3,8,316,171561,173620,0,0,0
97,48,1,576,128,8,2,3,8,316,172457,174452,0,0,0
98,49,0,576,128,8,2,3,8,332,173609,175604,0,0,0
99,49,1,576,128,8,2,3,8,332,174441,176500,0,0,0
100,50,0,576,128,8,2,3,8,327,175593,177652,0,0,0
101,50,1,576,128,8,2,3,8,327,176489,178548,0,0,0
102,51,0,576,128,8,2,3,8,320,177641,179700,0,0,0
103,51,1,576,128,8,2,3,8,320,178537,180612,0,0,0
104,52,0,576,128,8,2,3,8,315,179689,181764,0,0,0
105,52,1,576,128,8,2,3,8,315,180601,182628,0,0,0
106,53,0,576,128,8,2,3,8,344,181753,183780,0,0,0
107,53,1,576,128,8,2,3,8,344,182617,184756,0,0,0
108,54,0,576,128,8,2,3,8,401,183769,185908,0,0,0
109,54,1,576,128,8,2,3,8,401,184745,186900,0,0,0
110,55,0,576,128,8,2,3,8,359,185897,188052,0,0,0
111,55,1,576,128,8,2,3,8,359,186889,188932,0,0,0
112,56,0,576,128,8,2,3,8,314,188041,190084,0,0,0
113,56,1,576,128,8,2,3,8,314,188921,190932,0,0,0
114,57,0,576,128,8,2,3,8,307,190073,192084,0,0,0
115,57,1,576,128,8,2,3,8,307,190921,192804,0,0,0
116,58,0,576,128,8,2,3,8,345,192073,193956,0,0,0
117,58,1,576,128,8,2,3,8,345,192793,194884,0,0,0
118,59,0,576,128,8,2,3,8,371,193945,196036,0,0,0
119,59,1,576,128,8,2,3,8,371,194873,196932,0,0,0
120,60,0,576,128,8,2,3,8,374,196025,198084,0,0,0
121,60,1,576,128,8,2,3,8,374,196921,199092,0,0,0
122,61,0,576,128,8,2,3,8,335,198073,200244,0,0,0
123,61,1,576,128,8,2,3,8,335,199081,201172,0,0,0
124,62,0,576,128,8,2,3,8,334,200233,202324,0,0,0
125,62,1,576,128,8,2,3,8,334,201161,203220,0,0,0
126,63,0,576,128,8,2,3,8,364,202313,204372,0,0,0
127,63,1,576,128,8,2,3,8,364,203209,205380,0,0,0
128,64,0,576,128,8,2,3,8,235,204361,206532,0,0,0
129,64,1,576,128,8,2,3,8,235,205369,207172,0,0,0
130,65,0,576,128,8,2,3,8,220,206521,208324,0,0,0
131,65,1,576,128,8,2,3,8,220,207161,209172,0,0,0
132,66,0,576,128,8,2,3,8,262,208313,210324,0,0,0
133,66,1,576,128,8,2,3,8,262,209161,211220,0,0,0
134,67,0,576,128,8,2,3,8,219,210313,212372,0,0,0
135,67,1,576,128,8,2,3,8,219,211209,213076,0,0,0
136,68,0,576,128,8,2,3,8,245,212361,214228,0,0,0
137,68,1,576,128,8,2,3,8,245,213065,215092,0,0,0
138,69,0,576,128,8,2,3,8,324,214217,216244,0,0,0
139,69,1,576,128,8,2,3,8,324,215081,217252,0,0,0
140,70,0,576,128,8,2,3,8,254,216233,218404,0,0,0
141,70,1,576,128,8,2,3,8,254,217241,219300,0,0,0
