window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,576,128,32,2,2,277,73863,76778,0,0,0
1,0,1,576,128,32,2,2,277,74440,77886,0,0,0
2,1,0,576,128,32,2,2,348,76744,80190,0,0,0
3,1,1,576,128,32,2,2,348,77852,81582,0,0,0
4,2,0,576,128,32,2,2,377,80156,83886,0,0,0
5,2,1,576,128,32,2,2,377,81548,85394,0,0,0
6,3,0,576,128,32,2,2,382,83852,87698,0,0,0
7,3,1,576,128,32,2,2,382,85360,89226,0,0,0
8,4,0,576,128,32,2,2,341,87664,91530,0,0,0
9,4,1,576,128,32,2,2,341,89192,92894,0,0,0
10,5,0,576,128,32,2,2,412,91496,95198,0,0,0
11,5,1,576,128,32,2,2,412,92860,96846,0,0,0
12,6,0,576,128,32,2,2,374,95164,99150,0,0,0
13,6,1,576,128,32,2,2,374,96812,100646,0,0,0
14,7,0,576,128,32,2,2,356,99116,102950,0,0,0
15,7,1,576,128,32,2,2,356,100612,104374,0,0,0
16,8,0,576,128,32,2,2,341,102916,106678,0,0,0
17,8,1,576,128,32,2,2,341,104340,108042,0,0,0
18,9,0,576,128,32,2,2,307,106644,110346,0,0,0
19,9,1,576,128,32,2,2,307,108008,111574,0,0,0
20,10,0,576,128,32,2,2,395,110312,113878,0,0,0
21,10,1,576,128,32,2,2,395,111540,115458,0,0,0
22,11,0,576,128,32,2,2,371,113844,117762,0,0,0
23,11,1,576,128,32,2,2,371,115424,119246,0,0,0
24,12,0,576,128,32,2,2,365,117728,121550,0,0,0
25,12,1,576,128,32,2,2,365,119212,123010,0,0,0
26,13,0,576,128,32,2,2,386,121516,125314,0,0,0
27,13,1,576,128,32,2,2,386,122976,126858,0,0,0
28,14,0,576,128,32,2,2,381,125280,129162,0,0,0
29,14,1,576,128,32,2,2,381,126824,130686,0,0,0
30,15,0,576,128,32,2,2,357,129128,132990,0,0,0
31,15,1,576,128,32,2,2,357,130652,134418,0,0,0
32,16,0,576,128,32,2,2,381,132956,136722,0,0,0
33,16,1,576,128,32,2,2,381,134384,138246,0,0,0
34,17,0,576,128,32,2,2,403,136688,140550,0,0,0
35,17,1,576,128,32,2,2,403,138212,142162,0,0,0
36,18,0,576,128,32,2,2,357,140516,144466,0,0,0
37,18,1,576,128,32,2,2,357,142128,145894,0,0,0
38,19,0,576,128,32,2,2,342,144432,148198,0,0,0
39,19,1,576,128,32,2,2,342,145860,149566,0,0,0
40,20,0,576,128,32,2,2,378,148164,151870,0,0,0
41,20,1,576,128,32,2,2,378,149532,153382,0,0,0
42,21,0,576,128,32,2,2,379,151836,155686,0,0,0
43,21,1,576,128,32,2,2,379,153348,157202,0,0,0
44,22,0,576,128,32,2,2,385,155652,159506,0,0,0
45,22,1,576,128,32,2,2,385,157168,161046,0,0,0
46,23,0,576,128,32,2,2,229,159472,163350,0,0,0
47,23,1,576,128,32,2,2,229,161012,164266,0,0,0
48,24,0,576,128,32,2,2,364,163316,166570,0,0,0
49,24,1,576,128,32,2,2,364,164232,168026,0,0,0
50,25,0,576,128,32,2,2,334,166536,170330,0,0,0
51,25,1,576,128,32,2,2,334,167992,171666,0,0,0
52,26,0,576,128,32,2,2,343,170296,173970,0,0,0
53,26,1,576,128,32,2,2,343,171632,175342,0,0,0
54,27,0,576,128,32,2,2,381,173936,177646,0,0,0
55,27,1,576,128,32,2,2,381,175308,179170,0,0,0
56,28,0,576,128,32,2,2,313,177612,181474,0,0,0
57,28,1,576,128,32,2,2,313,179136,182726,0,0,0
58,29,0,576,128,32,2,2,374,181440,185030,0,0,0
59,29,1,576,128,32,2,2,374,182692,186526,0,0,0
60,30,0,576,128,32,2,2,371,184996,188830,0,0,0
61,30,1,576,128,32,2,2,371,186492,190314,0,0,0
62,31,0,576,128,32,2,2,386,188796,192618,0,0,0
63,31,1,576,128,32,2,2,386,190280,194162,0,0,0
64,32,0,576,128,32,2,2,393,192584,196466,0,0,0
65,32,1,576,128,32,2,2,393,194128,198038,0,0,0
66,33,0,576,128,32,2,2,410,196432,200342,0,0,0
67,33,1,576,128,32,2,2,410,198004,201982,0,0,0
68,34,0,576,128,32,2,2,369,200308,204286,0,0,0
69,34,1,576,128,32,2,2,369,201948,205762,0,0,0
70,35,0,576,128,32,2,2,361,204252,208066,0,0,0
71,35,1,576,128,32,2,2,361,205728,209510,0,0,0
72,36,0,576,128,32,2,2,373,208032,211814,0,0,0
73,36,1,576,128,32,2,2,373,209476,213306,0,0,0
74,37,0,576,128,32,2,2,386,211780,215610,0,0,0
