window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,27,9,4,2,0,0,259,388,0,0,0
1,1,0,27,9,4,2,0,27,389,518,0,0,0
2,2,0,27,9,4,2,0,1,519,648,0,0,0
3,3,0,27,9,4,2,0,2,649,778,0,0,0
4,4,0,27,9,4,2,0,3,779,908,0,0,0
5,5,0,27,9,4,2,0,4,909,1038,0,0,0
6,6,0,27,9,4,2,0,5,1039,1168,0,0,0
7,7,0,27,9,4,2,0,6,1169,1298,0,0,0
8,8,0,27,9,4,2,0,7,1299,1428,0,0,0
9,9,0,27,9,4,2,0,8,1429,1558,0,0,0
10,10,0,27,9,4,2,0,9,1559,1688,0,0,0
11,11,0,27,9,4,2,0,10,1689,1818,0,0,0
12,12,0,27,9,4,2,0,11,1819,1948,0,0,0
13,13,0,27,9,4,2,0,12,1949,2078,0,0,0
14,14,0,27,9,4,2,0,13,2079,2208,0,0,0
15,15,0,27,9,4,2,0,14,2209,2338,0,0,0
16,16,0,27,9,4,2,0,15,2339,2468,0,0,0
17,17,0,27,9,4,2,0,16,2469,2598,0,0,0
18,18,0,27,9,4,2,0,17,2599,2728,0,0,0
19,19,0,27,9,4,2,0,18,2729,2858,0,0,0
20,20,0,27,9,4,2,0,19,2859,2988,0,0,0
21,21,0,27,9,4,2,0,20,2989,3118,0,0,0
22,22,0,27,9,4,2,0,21,3119,3248,0,0,0
23,23,0,27,9,4,2,0,22,3249,3378,0,0,0
24,24,0,27,9,4,2,0,23,3379,3508,0,0,0
25,25,0,27,9,4,2,0,24,3509,3638,0,0,0
26,26,0,27,9,4,2,0,25,3639,3768,0,0,0
27,27,0,27,9,4,2,0,26,3769,3898,0,0,0
28,28,0,27,9,4,2,0,27,3899,4028,0,0,0
29,29,0,27,9,4,2,0,27,4029,4158,0,0,0
30,30,0,27,9,4,2,0,13,4159,4288,0,0,0
31,31,0,27,9,4,2,0,0,4289,4418,0,0,0
