window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,8,2,2,0,97,128,0,0,0
1,0,1,9,9,8,2,2,0,107,138,0,0,0
2,1,0,9,9,8,2,2,9,125,158,0,0,0
3,1,1,9,9,8,2,2,9,135,177,0,0,0
4,2,0,9,9,8,2,2,1,155,196,0,0,0
5,2,1,9,9,8,2,2,1,174,206,0,0,0
6,3,0,9,9,8,2,2,2,193,226,0,0,0
7,3,1,9,9,8,2,2,2,203,237,0,0,0
8,4,0,9,9,8,2,2,3,223,257,0,0,0
9,4,1,9,9,8,2,2,3,233,269,0,0,0
10,5,0,9,9,8,2,2,4,254,289,0,0,0
11,5,1,9,9,8,2,2,4,264,302,0,0,0
12,6,0,9,9,8,2,2,5,286,322,0,0,0
13,6,1,9,9,8,2,2,5,296,336,0,0,0
14,7,0,9,9,8,2,2,6,319,356,0,0,0
15,7,1,9,9,8,2,2,6,330,371,0,0,0
16,8,0,9,9,8,2,2,7,353,391,0,0,0
17,8,1,9,9,8,2,2,7,366,407,0,0,0
18,9,0,9,9,8,2,2,8,388,427,0,0,0
19,9,1,9,9,8,2,2,8,403,444,0,0,0
20,10,0,9,9,8,2,2,9,424,464,0,0,0
21,10,1,9,9,8,2,2,9,441,483,0,0,0
22,11,0,9,9,8,2,2,9,461,502,0,0,0
23,11,1,9,9,8,2,2,9,480,521,0,0,0
24,12,0,9,9,8,2,2,4,499,540,0,0,0
25,12,1,9,9,8,2,2,4,518,553,0,0,0
26,13,0,9,9,8,2,2,0,537,573,0,0,0
27,13,1,9,9,8,2,2,0,547,583,0,0,0
