window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,8,3,1,1,0,97,129,0,0,0
1,0,1,9,9,8,3,1,1,0,130,150,0,0,0
2,1,0,9,9,8,3,1,1,9,151,183,0,0,0
3,1,1,9,9,8,3,1,1,9,184,216,0,0,0
4,2,0,9,9,8,3,1,1,1,217,249,0,0,0
5,2,1,9,9,8,3,1,1,1,250,273,0,0,0
6,3,0,9,9,8,3,1,1,2,274,306,0,0,0
7,3,1,9,9,8,3,1,1,2,307,331,0,0,0
8,4,0,9,9,8,3,1,1,3,332,364,0,0,0
9,4,1,9,9,8,3,1,1,3,365,390,0,0,0
10,5,0,9,9,8,3,1,1,4,391,423,0,0,0
11,5,1,9,9,8,3,1,1,4,424,450,0,0,0
12,6,0,9,9,8,3,1,1,5,451,483,0,0,0
13,6,1,9,9,8,3,1,1,5,484,511,0,0,0
14,7,0,9,9,8,3,1,1,6,512,544,0,0,0
15,7,1,9,9,8,3,1,1,6,545,573,0,0,0
16,8,0,9,9,8,3,1,1,7,574,606,0,0,0
17,8,1,9,9,8,3,1,1,7,607,636,0,0,0
18,9,0,9,9,8,3,1,1,8,637,669,0,0,0
19,9,1,9,9,8,3,1,1,8,670,700,0,0,0
20,10,0,9,9,8,3,1,1,9,701,733,0,0,0
21,10,1,9,9,8,3,1,1,9,734,766,0,0,0
22,11,0,9,9,8,3,1,1,9,767,799,0,0,0
23,11,1,9,9,8,3,1,1,9,800,832,0,0,0
24,12,0,9,9,8,3,1,1,4,833,865,0,0,0
25,12,1,9,9,8,3,1,1,4,866,892,0,0,0
26,13,0,9,9,8,3,1,1,0,893,925,0,0,0
27,13,1,9,9,8,3,1,1,0,926,946,0,0,0
