window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,2,1,2,0,97,190,12,0,0
1,0,1,9,9,2,1,2,0,107,270,12,0,0
2,1,0,9,9,2,1,2,9,184,350,12,0,0
3,1,1,9,9,2,1,2,9,256,430,12,0,0
4,2,0,9,9,2,1,2,1,344,510,12,0,0
5,2,1,9,9,2,1,2,1,424,590,12,0,0
6,3,0,9,9,2,1,2,2,504,670,12,0,0
7,3,1,9,9,2,1,2,2,576,750,12,0,0
8,4,0,9,9,2,1,2,3,664,830,12,0,0
9,4,1,9,9,2,1,2,3,737,910,12,0,0
10,5,0,9,9,2,1,2,4,824,990,12,0,0
11,5,1,9,9,2,1,2,4,898,1070,12,0,0
12,6,0,9,9,2,1,2,5,984,1150,12,0,0
13,6,1,9,9,2,1,2,5,1059,1230,12,0,0
14,7,0,9,9,2,1,2,6,1144,1310,12,0,0
15,7,1,9,9,2,1,2,6,1220,1390,12,0,0
16,8,0,9,9,2,1,2,7,1304,1470,12,0,0
17,8,1,9,9,2,1,2,7,1381,1550,12,0,0
18,9,0,9,9,2,1,2,8,1464,1630,12,0,0
19,9,1,9,9,2,1,2,8,1542,1710,12,0,0
20,10,0,9,9,2,1,2,9,1624,1790,12,0,0
21,10,1,9,9,2,1,2,9,1703,1870,12,0,0
22,11,0,9,9,2,1,2,9,1784,1950,12,0,0
23,11,1,9,9,2,1,2,9,1864,2030,12,0,0
24,12,0,9,9,2,1,2,4,1944,2110,12,0,0
25,12,1,9,9,2,1,2,4,2024,2190,12,0,0
26,13,0,9,9,2,1,2,0,2104,2270,12,0,0
27,13,1,9,9,2,1,2,0,2179,2350,12,0,0
