window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,8,1,2,0,97,138,0,0,0
1,0,1,9,9,8,1,2,0,107,153,0,0,0
2,1,0,9,9,8,1,2,9,135,184,0,0,0
3,1,1,9,9,8,1,2,9,150,215,0,0,0
4,2,0,9,9,8,1,2,1,181,246,0,0,0
5,2,1,9,9,8,1,2,1,212,261,0,0,0
6,3,0,9,9,8,1,2,2,243,292,0,0,0
7,3,1,9,9,8,1,2,2,258,309,0,0,0
8,4,0,9,9,8,1,2,3,289,340,0,0,0
9,4,1,9,9,8,1,2,3,306,359,0,0,0
10,5,0,9,9,8,1,2,4,337,390,0,0,0
11,5,1,9,9,8,1,2,4,356,411,0,0,0
12,6,0,9,9,8,1,2,5,387,442,0,0,0
13,6,1,9,9,8,1,2,5,408,465,0,0,0
14,7,0,9,9,8,1,2,6,439,496,0,0,0
15,7,1,9,9,8,1,2,6,462,521,0,0,0
16,8,0,9,9,8,1,2,7,493,552,0,0,0
17,8,1,9,9,8,1,2,7,518,579,0,0,0
18,9,0,9,9,8,1,2,8,549,610,0,0,0
19,9,1,9,9,8,1,2,8,576,639,0,0,0
20,10,0,9,9,8,1,2,9,607,670,0,0,0
21,10,1,9,9,8,1,2,9,636,701,0,0,0
22,11,0,9,9,8,1,2,9,667,732,0,0,0
23,11,1,9,9,8,1,2,9,698,763,0,0,0
24,12,0,9,9,8,1,2,4,729,794,0,0,0
25,12,1,9,9,8,1,2,4,760,815,0,0,0
26,13,0,9,9,8,1,2,0,791,846,0,0,0
27,13,1,9,9,8,1,2,0,812,861,0,0,0
