window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,27,9,4,2,3,4,0,429,684,12,2,1
1,0,1,27,9,4,2,3,4,0,465,693,12,2,1
2,1,0,27,9,4,2,3,4,27,674,741,12,2,1
3,1,1,27,9,4,2,3,4,27,710,779,12,2,1
4,2,0,27,9,4,2,3,4,1,746,817,12,2,1
5,2,1,27,9,4,2,3,4,1,782,838,12,2,1
6,3,0,27,9,4,2,3,4,2,818,893,12,2,1
7,3,1,27,9,4,2,3,4,2,854,912,12,2,1
8,4,0,27,9,4,2,3,4,3,890,954,12,2,1
9,4,1,27,9,4,2,3,4,3,926,977,12,2,1
10,5,0,27,9,4,2,3,4,4,962,1027,12,2,1
11,5,1,27,9,4,2,3,4,4,998,1054,12,2,1
12,6,0,27,9,4,2,3,4,5,1034,1102,12,2,1
13,6,1,27,9,4,2,3,4,5,1070,1128,12,2,1
14,7,0,27,9,4,2,3,4,6,1106,1178,12,2,1
15,7,1,27,9,4,2,3,4,6,1142,1200,12,2,1
16,8,0,27,9,4,2,3,4,7,1178,1246,12,2,1
17,8,1,27,9,4,2,3,4,7,1214,1273,12,2,1
18,9,0,27,9,4,2,3,4,8,1250,1315,12,2,1
19,9,1,27,9,4,2,3,4,8,1286,1340,12,2,1
20,10,0,27,9,4,2,3,4,9,1322,1387,12,2,1
21,10,1,27,9,4,2,3,4,9,1358,1416,12,2,1
22,11,0,27,9,4,2,3,4,10,1394,1463,12,2,1
23,11,1,27,9,4,2,3,4,10,1430,1490,12,2,1
24,12,0,27,9,4,2,3,4,11,1466,1539,12,2,1
25,12,1,27,9,4,2,3,4,11,1502,1561,12,2,1
26,13,0,27,9,4,2,3,4,12,1538,1600,12,2,1
27,13,1,27,9,4,2,3,4,12,1574,1634,12,2,1
28,14,0,27,9,4,2,3,4,13,1610,1675,12,2,1
29,14,1,27,9,4,2,3,4,13,1646,1710,12,2,1
30,15,0,27,9,4,2,3,4,14,1682,1748,12,2,1
31,15,1,27,9,4,2,3,4,14,1718,1778,12,2,1
32,16,0,27,9,4,2,3,4,15,1754,1824,12,2,1
33,16,1,27,9,4,2,3,4,15,1790,1862,12,2,1
34,17,0,27,9,4,2,3,4,16,1826,1900,12,2,1
35,17,1,27,9,4,2,3,4,16,1862,1921,12,2,1
36,18,0,27,9,4,2,3,4,17,1898,1961,12,2,1
37,18,1,27,9,4,2,3,4,17,1934,1995,12,2,1
38,19,0,27,9,4,2,3,4,18,1970,2035,12,2,1
39,19,1,27,9,4,2,3,4,18,2006,2071,12,2,1
40,20,0,27,9,4,2,3,4,19,2042,2109,12,2,1
41,20,1,27,9,4,2,3,4,19,2078,2147,12,2,1
42,21,0,27,9,4,2,3,4,20,2114,2185,12,2,1
43,21,1,27,9,4,2,3,4,20,2150,2223,12,2,1
44,22,0,27,9,4,2,3,4,21,2186,2261,12,2,1
45,22,1,27,9,4,2,3,4,21,2222,2284,12,2,1
46,23,0,27,9,4,2,3,4,22,2258,2322,12,2,1
47,23,1,27,9,4,2,3,4,22,2294,2357,12,2,1
48,24,0,27,9,4,2,3,4,23,2330,2395,12,2,1
49,24,1,27,9,4,2,3,4,23,2366,2432,12,2,1
50,25,0,27,9,4,2,3,4,24,2402,2470,12,2,1
51,25,1,27,9,4,2,3,4,24,2438,2508,12,2,1
52,26,0,27,9,4,2,3,4,25,2474,2546,12,2,1
53,26,1,27,9,4,2,3,4,25,2510,2584,12,2,1
54,27,0,27,9,4,2,3,4,26,2546,2614,12,2,1
55,27,1,27,9,4,2,3,4,26,2582,2645,12,2,1
56,28,0,27,9,4,2,3,4,27,2618,2683,12,2,1
57,28,1,27,9,4,2,3,4,27,2654,2719,12,2,1
58,29,0,27,9,4,2,3,4,27,2690,2755,12,2,1
59,29,1,27,9,4,2,3,4,27,2726,2793,12,2,1
60,30,0,27,9,4,2,3,4,13,2762,2831,12,2,1
61,30,1,27,9,4,2,3,4,13,2798,2869,12,2,1
62,31,0,27,9,4,2,3,4,0,2834,2907,12,2,1
63,31,1,27,9,4,2,3,4,0,2870,2926,12,2,1
