window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,4,2,2,1,0,97,137,0,0,0
1,0,1,9,9,4,2,2,1,0,107,146,0,0,0
2,1,0,9,9,4,2,2,1,9,134,175,0,0,0
3,1,1,9,9,4,2,2,1,9,144,202,0,0,0
4,2,0,9,9,4,2,2,1,1,172,229,0,0,0
5,2,1,9,9,4,2,2,1,1,199,238,0,0,0
6,3,0,9,9,4,2,2,1,2,226,267,0,0,0
7,3,1,9,9,4,2,2,1,2,236,277,0,0,0
8,4,0,9,9,4,2,2,1,3,264,306,0,0,0
9,4,1,9,9,4,2,2,1,3,274,318,0,0,0
10,5,0,9,9,4,2,2,1,4,303,346,0,0,0
11,5,1,9,9,4,2,2,1,4,315,360,0,0,0
12,6,0,9,9,4,2,2,1,5,343,387,0,0,0
13,6,1,9,9,4,2,2,1,5,357,403,0,0,0
14,7,0,9,9,4,2,2,1,6,384,430,0,0,0
15,7,1,9,9,4,2,2,1,6,400,448,0,0,0
16,8,0,9,9,4,2,2,1,7,427,475,0,0,0
17,8,1,9,9,4,2,2,1,7,445,496,0,0,0
18,9,0,9,9,4,2,2,1,8,472,523,0,0,0
19,9,1,9,9,4,2,2,1,8,493,547,0,0,0
20,10,0,9,9,4,2,2,1,9,520,574,0,0,0
21,10,1,9,9,4,2,2,1,9,544,601,0,0,0
22,11,0,9,9,4,2,2,1,9,571,628,0,0,0
23,11,1,9,9,4,2,2,1,9,598,655,0,0,0
24,12,0,9,9,4,2,2,1,4,625,682,0,0,0
25,12,1,9,9,4,2,2,1,4,652,696,0,0,0
26,13,0,9,9,4,2,2,1,0,679,723,0,0,0
27,13,1,9,9,4,2,2,1,0,693,732,0,0,0
