window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,2,1,0,0,97,180,0,0,0
1,0,1,9,9,2,1,0,0,181,204,0,0,0
2,1,0,9,9,2,1,0,9,205,288,0,0,0
3,1,1,9,9,2,1,0,9,289,372,0,0,0
4,2,0,9,9,2,1,0,1,373,456,0,0,0
5,2,1,9,9,2,1,0,1,457,500,0,0,0
6,3,0,9,9,2,1,0,2,501,584,0,0,0
7,3,1,9,9,2,1,0,2,585,633,0,0,0
8,4,0,9,9,2,1,0,3,634,717,0,0,0
9,4,1,9,9,2,1,0,3,718,771,0,0,0
10,5,0,9,9,2,1,0,4,772,855,0,0,0
11,5,1,9,9,2,1,0,4,856,914,0,0,0
12,6,0,9,9,2,1,0,5,915,998,0,0,0
13,6,1,9,9,2,1,0,5,999,1062,0,0,0
14,7,0,9,9,2,1,0,6,1063,1146,0,0,0
15,7,1,9,9,2,1,0,6,1147,1215,0,0,0
16,8,0,9,9,2,1,0,7,1216,1299,0,0,0
17,8,1,9,9,2,1,0,7,1300,1373,0,0,0
18,9,0,9,9,2,1,0,8,1374,1457,0,0,0
19,9,1,9,9,2,1,0,8,1458,1536,0,0,0
20,10,0,9,9,2,1,0,9,1537,1620,0,0,0
21,10,1,9,9,2,1,0,9,1621,1704,0,0,0
22,11,0,9,9,2,1,0,9,1705,1788,0,0,0
23,11,1,9,9,2,1,0,9,1789,1872,0,0,0
24,12,0,9,9,2,1,0,4,1873,1956,0,0,0
25,12,1,9,9,2,1,0,4,1957,2015,0,0,0
26,13,0,9,9,2,1,0,0,2016,2099,0,0,0
27,13,1,9,9,2,1,0,0,2100,2123,0,0,0
