window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,1,9,3,2,2,1,0,25,70,12,0,0
1,0,1,1,9,3,2,2,1,0,27,103,12,0,0
2,1,0,1,9,3,2,2,1,1,41,136,12,0,0
3,1,1,1,9,3,2,2,1,1,74,169,12,0,0
4,2,0,1,9,3,2,2,1,1,119,214,12,0,0
5,2,1,1,9,3,2,2,1,1,152,247,12,0,0
6,3,0,1,9,3,2,2,1,1,185,280,12,0,0
7,3,1,1,9,3,2,2,1,1,218,313,12,0,0
8,4,0,1,9,3,2,2,1,0,263,358,12,0,0
9,4,1,1,9,3,2,2,1,0,296,391,12,0,0
10,5,0,1,9,3,2,2,1,0,329,424,12,0,0
11,5,1,1,9,3,2,2,1,0,362,457,12,0,0
