window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,4,1,2,1,0,97,149,0,0,0
1,0,1,9,9,4,1,2,1,0,107,167,0,0,0
2,1,0,9,9,4,1,2,1,9,146,209,0,0,0
3,1,1,9,9,4,1,2,1,9,164,251,0,0,0
4,2,0,9,9,4,1,2,1,1,206,293,0,0,0
5,2,1,9,9,4,1,2,1,1,248,311,0,0,0
6,3,0,9,9,4,1,2,1,2,290,353,0,0,0
7,3,1,9,9,4,1,2,1,2,308,374,0,0,0
8,4,0,9,9,4,1,2,1,3,350,416,0,0,0
9,4,1,9,9,4,1,2,1,3,371,440,0,0,0
10,5,0,9,9,4,1,2,1,4,413,482,0,0,0
11,5,1,9,9,4,1,2,1,4,437,509,0,0,0
12,6,0,9,9,4,1,2,1,5,479,551,0,0,0
13,6,1,9,9,4,1,2,1,5,506,581,0,0,0
14,7,0,9,9,4,1,2,1,6,548,623,0,0,0
15,7,1,9,9,4,1,2,1,6,578,656,0,0,0
16,8,0,9,9,4,1,2,1,7,620,698,0,0,0
17,8,1,9,9,4,1,2,1,7,653,734,0,0,0
18,9,0,9,9,4,1,2,1,8,695,776,0,0,0
19,9,1,9,9,4,1,2,1,8,731,815,0,0,0
20,10,0,9,9,4,1,2,1,9,773,857,0,0,0
21,10,1,9,9,4,1,2,1,9,812,899,0,0,0
22,11,0,9,9,4,1,2,1,9,854,941,0,0,0
23,11,1,9,9,4,1,2,1,9,896,983,0,0,0
24,12,0,9,9,4,1,2,1,4,938,1025,0,0,0
25,12,1,9,9,4,1,2,1,4,980,1052,0,0,0
26,13,0,9,9,4,1,2,1,0,1022,1094,0,0,0
27,13,1,9,9,4,1,2,1,0,1049,1112,0,0,0
