window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,576,128,2,2,3,4,277,73863,83661,0,0,0
1,0,1,576,128,2,2,3,4,277,74440,88397,0,0,0
2,1,0,576,128,2,2,3,4,348,83656,97613,0,0,0
3,1,1,576,128,2,2,3,4,348,88392,104013,0,0,0
4,2,0,576,128,2,2,3,4,377,97608,113229,0,0,0
5,2,1,576,128,2,2,3,4,377,104008,120269,0,0,0
6,3,0,576,128,2,2,3,4,382,113224,129485,0,0,0
7,3,1,576,128,2,2,3,4,382,120264,136013,0,0,0
8,4,0,576,128,2,2,3,4,341,129480,145229,0,0,0
9,4,1,576,128,2,2,3,4,341,136008,151757,0,0,0
10,5,0,576,128,2,2,3,4,412,145224,160973,0,0,0
11,5,1,576,128,2,2,3,4,412,151752,168013,0,0,0
12,6,0,576,128,2,2,3,4,374,160968,177229,0,0,0
13,6,1,576,128,2,2,3,4,374,168008,183629,0,0,0
14,7,0,576,128,2,2,3,4,356,177224,192845,0,0,0
15,7,1,576,128,2,2,3,4,356,183624,199053,0,0,0
16,8,0,576,128,2,2,3,4,341,192840,208269,0,0,0
17,8,1,576,128,2,2,3,4,341,199048,214413,0,0,0
18,9,0,576,128,2,2,3,4,307,208264,223629,0,0,0
19,9,1,576,128,2,2,3,4,307,214408,229325,0,0,0
20,10,0,576,128,2,2,3,4,395,223624,238541,0,0,0
21,10,1,576,128,2,2,3,4,395,229320,245325,0,0,0
22,11,0,576,128,2,2,3,4,371,238536,254541,0,0,0
23,11,1,576,128,2,2,3,4,371,245320,261581,0,0,0
24,12,0,576,128,2,2,3,4,365,254536,270797,0,0,0
25,12,1,576,128,2,2,3,4,365,261576,277261,0,0,0
26,13,0,576,128,2,2,3,4,386,270792,286477,0,0,0
27,13,1,576,128,2,2,3,4,386,277256,293133,0,0,0
28,14,0,576,128,2,2,3,4,381,286472,302349,0,0,0
29,14,1,576,128,2,2,3,4,381,293128,309389,0,0,0
30,15,0,576,128,2,2,3,4,357,302344,318605,0,0,0
31,15,1,576,128,2,2,3,4,357,309384,325389,0,0,0
32,16,0,576,128,2,2,3,4,381,318600,334605,0,0,0
33,16,1,576,128,2,2,3,4,381,325384,341133,0,0,0
34,17,0,576,128,2,2,3,4,403,334600,350349,0,0,0
35,17,1,576,128,2,2,3,4,403,341128,357453,0,0,0
36,18,0,576,128,2,2,3,4,357,350344,366669,0,0,0
37,18,1,576,128,2,2,3,4,357,357448,373389,0,0,0
38,19,0,576,128,2,2,3,4,342,366664,382605,0,0,0
39,19,1,576,128,2,2,3,4,342,373384,388813,0,0,0
40,20,0,576,128,2,2,3,4,378,382600,398029,0,0,0
41,20,1,576,128,2,2,3,4,378,388808,404621,0,0,0
42,21,0,576,128,2,2,3,4,379,398024,413837,0,0,0
43,21,1,576,128,2,2,3,4,379,404616,420749,0,0,0
44,22,0,576,128,2,2,3,4,385,413832,429965,0,0,0
45,22,1,576,128,2,2,3,4,385,420744,436877,0,0,0
46,23,0,576,128,2,2,3,4,229,429960,446093,0,0,0
47,23,1,576,128,2,2,3,4,229,436872,450061,0,0,0
48,24,0,576,128,2,2,3,4,364,446088,459277,0,0,0
49,24,1,576,128,2,2,3,4,364,450056,465677,0,0,0
50,25,0,576,128,2,2,3,4,334,459272,474893,0,0,0
51,25,1,576,128,2,2,3,4,334,465672,481037,0,0,0
52,26,0,576,128,2,2,3,4,343,474888,490253,0,0,0
53,26,1,576,128,2,2,3,4,343,481032,496269,0,0,0
54,27,0,576,128,2,2,3,4,381,490248,505485,0,0,0
55,27,1,576,128,2,2,3,4,381,496264,511949,0,0,0
56,28,0,576,128,2,2,3,4,313,505480,521165,0,0,0
57,28,1,576,128,2,2,3,4,313,511944,527309,0,0,0
58,29,0,576,128,2,2,3,4,374,521160,536525,0,0,0
59,29,1,576,128,2,2,3,4,374,527304,543053,0,0,0
60,30,0,576,128,2,2,3,4,371,536520,552269,0,0,0
61,30,1,576,128,2,2,3,4,371,543048,558733,0,0,0
62,31,0,576,128,2,2,3,4,386,552264,567949,0,0,0
63,31,1,576,128,2,2,3,4,386,558728,574861,0,0,0
