window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,1,2,3,8,0,97,175,12,0,0
1,0,1,9,9,1,2,3,8,0,107,254,12,0,0
2,1,0,9,9,1,2,3,8,9,162,319,12,0,0
3,1,1,9,9,1,2,3,8,9,239,398,12,0,0
4,2,0,9,9,1,2,3,8,1,306,463,12,0,0
5,2,1,9,9,1,2,3,8,1,384,542,12,0,0
6,3,0,9,9,1,2,3,8,2,450,607,12,0,0
7,3,1,9,9,1,2,3,8,2,527,686,12,0,0
8,4,0,9,9,1,2,3,8,3,594,751,12,0,0
9,4,1,9,9,1,2,3,8,3,671,830,12,0,0
10,5,0,9,9,1,2,3,8,4,738,895,12,0,0
11,5,1,9,9,1,2,3,8,4,815,974,12,0,0
12,6,0,9,9,1,2,3,8,5,882,1039,12,0,0
13,6,1,9,9,1,2,3,8,5,959,1118,12,0,0
14,7,0,9,9,1,2,3,8,6,1026,1183,12,0,0
15,7,1,9,9,1,2,3,8,6,1103,1262,12,0,0
16,8,0,9,9,1,2,3,8,7,1170,1327,12,0,0
17,8,1,9,9,1,2,3,8,7,1248,1406,12,0,0
18,9,0,9,9,1,2,3,8,8,1314,1471,12,0,0
19,9,1,9,9,1,2,3,8,8,1392,1550,12,0,0
20,10,0,9,9,1,2,3,8,9,1458,1615,12,0,0
21,10,1,9,9,1,2,3,8,9,1535,1694,12,0,0
22,11,0,9,9,1,2,3,8,9,1602,1759,12,0,0
23,11,1,9,9,1,2,3,8,9,1680,1838,12,0,0
24,12,0,9,9,1,2,3,8,4,1746,1903,12,0,0
25,12,1,9,9,1,2,3,8,4,1824,1982,12,0,0
26,13,0,9,9,1,2,3,8,0,1890,2047,12,0,0
27,13,1,9,9,1,2,3,8,0,1967,2126,12,0,0
