window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,8,3,0,1,0,97,159,12,0,0
1,0,1,9,9,8,3,0,1,0,160,206,12,0,0
2,1,0,9,9,8,3,0,1,9,207,271,12,0,0
3,1,1,9,9,8,3,0,1,9,272,335,12,0,0
4,2,0,9,9,8,3,0,1,1,336,399,12,0,0
5,2,1,9,9,8,3,0,1,1,400,462,12,0,0
6,3,0,9,9,8,3,0,1,2,463,527,12,0,0
7,3,1,9,9,8,3,0,1,2,528,590,12,0,0
8,4,0,9,9,8,3,0,1,3,591,655,12,0,0
9,4,1,9,9,8,3,0,1,3,656,718,12,0,0
10,5,0,9,9,8,3,0,1,4,719,783,12,0,0
11,5,1,9,9,8,3,0,1,4,784,846,12,0,0
12,6,0,9,9,8,3,0,1,5,847,911,12,0,0
13,6,1,9,9,8,3,0,1,5,912,974,12,0,0
14,7,0,9,9,8,3,0,1,6,975,1039,12,0,0
15,7,1,9,9,8,3,0,1,6,1040,1102,12,0,0
16,8,0,9,9,8,3,0,1,7,1103,1167,12,0,0
17,8,1,9,9,8,3,0,1,7,1168,1230,12,0,0
18,9,0,9,9,8,3,0,1,8,1231,1295,12,0,0
19,9,1,9,9,8,3,0,1,8,1296,1358,12,0,0
20,10,0,9,9,8,3,0,1,9,1359,1423,12,0,0
21,10,1,9,9,8,3,0,1,9,1424,1487,12,0,0
22,11,0,9,9,8,3,0,1,9,1488,1551,12,0,0
23,11,1,9,9,8,3,0,1,9,1552,1615,12,0,0
24,12,0,9,9,8,3,0,1,4,1616,1679,12,0,0
25,12,1,9,9,8,3,0,1,4,1680,1742,12,0,0
26,13,0,9,9,8,3,0,1,0,1743,1807,12,0,0
27,13,1,9,9,8,3,0,1,0,1808,1854,12,0,0
