window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,27,9,4,2,1,0,259,372,0,0,0
1,1,0,27,9,4,2,1,27,373,486,0,0,0
2,2,0,27,9,4,2,1,1,487,600,0,0,0
3,3,0,27,9,4,2,1,2,601,714,0,0,0
4,4,0,27,9,4,2,1,3,715,828,0,0,0
5,5,0,27,9,4,2,1,4,829,942,0,0,0
6,6,0,27,9,4,2,1,5,943,1056,0,0,0
7,7,0,27,9,4,2,1,6,1057,1170,0,0,0
8,8,0,27,9,4,2,1,7,1171,1284,0,0,0
9,9,0,27,9,4,2,1,8,1285,1398,0,0,0
10,10,0,27,9,4,2,1,9,1399,1512,0,0,0
11,11,0,27,9,4,2,1,10,1513,1626,0,0,0
12,12,0,27,9,4,2,1,11,1627,1740,0,0,0
13,13,0,27,9,4,2,1,12,1741,1854,0,0,0
14,14,0,27,9,4,2,1,13,1855,1968,0,0,0
15,15,0,27,9,4,2,1,14,1969,2082,0,0,0
16,16,0,27,9,4,2,1,15,2083,2196,0,0,0
17,17,0,27,9,4,2,1,16,2197,2310,0,0,0
18,18,0,27,9,4,2,1,17,2311,2424,0,0,0
19,19,0,27,9,4,2,1,18,2425,2538,0,0,0
20,20,0,27,9,4,2,1,19,2539,2652,0,0,0
21,21,0,27,9,4,2,1,20,2653,2766,0,0,0
22,22,0,27,9,4,2,1,21,2767,2880,0,0,0
23,23,0,27,9,4,2,1,22,2881,2994,0,0,0
24,24,0,27,9,4,2,1,23,2995,3108,0,0,0
25,25,0,27,9,4,2,1,24,3109,3222,0,0,0
26,26,0,27,9,4,2,1,25,3223,3336,0,0,0
27,27,0,27,9,4,2,1,26,3337,3450,0,0,0
28,28,0,27,9,4,2,1,27,3451,3564,0,0,0
29,29,0,27,9,4,2,1,27,3565,3678,0,0,0
30,30,0,27,9,4,2,1,13,3679,3792,0,0,0
31,31,0,27,9,4,2,1,0,3793,3906,0,0,0
