window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
87,43,1,576,128,2,2,1,373,2740328,2764782,0,0,0
88,44,0,576,128,2,2,1,366,2764783,2802229,0,0,0
89,44,1,576,128,2,2,1,366,2802230,2826236,0,0,0
90,45,0,576,128,2,2,1,391,2826237,2863683,0,0,0
91,45,1,576,128,2,2,1,391,2863684,2889290,0,0,0
92,46,0,576,128,2,2,1,403,2889291,2926737,0,0,0
93,46,1,576,128,2,2,1,403,2926738,2953112,0,0,0
94,47,0,576,128,2,2,1,385,2953113,2990559,0,0,0
95,47,1,576,128,2,2,1,385,2990560,3015782,0,0,0
96,48,0,576,128,2,2,1,353,3015783,3053229,0,0,0
97,48,1,576,128,2,2,1,353,3053230,3076404,0,0,0
98,49,0,576,128,2,2,1,376,3076405,3113851,0,0,0
99,49,1,576,128,2,2,1,376,3113852,3138498,0,0,0
100,50,0,576,128,2,2,1,352,3138499,3175945,0,0,0
101,50,1,576,128,2,2,1,352,3175946,3199056,0,0,0
102,51,0,576,128,2,2,1,360,3199057,3236503,0,0,0
103,51,1,576,128,2,2,1,360,3236504,3260126,0,0,0
104,52,0,576,128,2,2,1,370,3260127,3297573,0,0,0
105,52,1,576,128,2,2,1,370,3297574,3321836,0,0,0
106,53,0,576,128,2,2,1,349,3321837,3359283,0,0,0
107,53,1,576,128,2,2,1,349,3359284,3382202,0,0,0
108,54,0,576,128,2,2,1,365,3382203,3419649,0,0,0
109,54,1,576,128,2,2,1,365,3419650,3443592,0,0,0
110,55,0,576,128,2,2,1,380,3443593,3481039,0,0,0
111,55,1,576,128,2,2,1,380,3481040,3505942,0,0,0
112,56,0,576,128,2,2,1,354,3505943,3543389,0,0,0
113,56,1,576,128,2,2,1,354,3543390,3566628,0,0,0
114,57,0,576,128,2,2,1,365,3566629,3604075,0,0,0
115,57,1,576,128,2,2,1,365,3604076,3628018,0,0,0
116,58,0,576,128,2,2,1,338,3628019,3665465,0,0,0
117,58,1,576,128,2,2,1,338,3665466,3687680,0,0,0
118,59,0,576,128,2,2,1,372,3687681,3725127,0,0,0
119,59,1,576,128,2,2,1,372,3725128,3749518,0,0,0
120,60,0,576,128,2,2,1,344,3749519,3786965,0,0,0
121,60,1,576,128,2,2,1,344,3786966,3809564,0,0,0
122,61,0,576,128,2,2,1,388,3809565,3847011,0,0,0
123,61,1,576,128,2,2,1,388,3847012,3872426,0,0,0
124,62,0,576,128,2,2,1,372,3872427,3909873,0,0,0
125,62,1,576,128,2,2,1,372,3909874,3934264,0,0,0
126,63,0,576,128,2,2,1,323,3934265,3971711,0,0,0
127,63,1,576,128,2,2,1,323,3971712,3992966,0,0,0
128,64,0,576,128,2,2,1,258,3992967,4030413,0,0,0
129,64,1,576,128,2,2,1,258,4030414,4047508,0,0,0
130,65,0,576,128,2,2,1,360,4047509,4084955,0,0,0
131,65,1,576,128,2,2,1,360,4084956,4108578,0,0,0
132,66,0,576,128,2,2,1,363,4108579,4146025,0,0,0
133,66,1,576,128,2,2,1,363,4146026,4169840,0,0,0
134,67,0,576,128,2,2,1,362,4169841,4207287,0,0,0
135,67,1,576,128,2,2,1,362,4207288,4231038,0,0,0
136,68,0,576,128,2,2,1,368,4231039,4268485,0,0,0
137,68,1,576,128,2,2,1,368,4268486,4292620,0,0,0
138,69,0,576,128,2,2,1,360,4292621,4330067,0,0,0
139,69,1,576,128,2,2,1,360,4330068,4353690,0,0,0
140,70,0,576,128,2,2,1,358,4353691,4391137,0,0,0
141,70,1,576,128,2,2,1,358,4391138,4414632,0,0,0
142,71,0,576,128,2,2,1,366,4414633,4452079,0,0,0
143,71,1,576,128,2,2,1,366,4452080,4476086,0,0,0
144,72,0,576,128,2,2,1,361,4476087,4513533,0,0,0
145,72,1,576,128,2,2,1,361,4513534,4537220,0,0,0
146,73,0,576,128,2,2,1,265,4537221,4574667,0,0,0
147,73,1,576,128,2,2,1,265,4574668,4592210,0,0,0
148,74,0,576,128,2,2,1,373,4592211,4629657,0,0,0
149,74,1,576,128,2,2,1,373,4629658,4654112,0,0,0
150,75,0,576,128,2,2,1,253,4654113,4691559,0,0,0
151,75,1,576,128,2,2,1,253,4691560,4708334,0,0,0
152,76,0,576,128,2,2,1,275,4708335,4745781,0,0,0
153,76,1,576,128,2,2,1,275,4745782,4763964,0,0,0
154,77,0,576,128,2,2,1,291,4763965,4801411,0,0,0
155,77,1,576,128,2,2,1,291,4801412,4820618,0,0,0
156,78,0,576,128,2,2,1,366,4820619,4858065,0,0,0
157,78,1,576,128,2,2,1,366,4858066,4882072,0,0,0
158,79,0,576,128,2,2,1,282,4882073,4919519,0,0,0
159,79,1,576,128,2,2,1,282,4919520,4938150,0,0,0
160,80,0,576,128,2,2,1,373,4938151,4975597,0,0,0
161,80,1,576,128,2,2,1,373,4975598,5000052,0,0,0
162,81,0,576,128,2,2,1,272,5000053,5037499,0,0,0
163,81,1,576,128,2,2,1,272,5037500,5055490,0,0,0
164,82,0,576,128,2,2,1,368,5055491,5092937,0,0,0
165,82,1,576,128,2,2,1,368,5092938,5117072,0,0,0
166,83,0,576,128,2,2,1,371,5117073,5154519,0,0,0
167,83,1,576,128,2,2,1,371,5154520,5178846,0,0,0
168,84,0,576,128,2,2,1,294,5178847,5216293,0,0,0
169,84,1,576,128,2,2,1,294,5216294,5235692,0,0,0
170,85,0,576,128,2,2,1,324,5235693,5273139,0,0,0
171,85,1,576,128,2,2,1,324,5273140,5294458,0,0,0
172,86,0,576,128,2,2,1,283,5294459,5331905,0,0,0
173,86,1,576,128,2,2,1,283,5331906,5350600,0,0,0
174,87,0,576,128,2,2,1,347,5350601,5388047,0,0,0
175,87,1,576,128,2,2,1,347,5388048,5410838,0,0,0
176,88,0,576,128,2,2,1,263,5410839,5448285,0,0,0
177,88,1,576,128,2,2,1,263,5448286,5465700,0,0,0
178,89,0,576,128,2,2,1,375,5465701,5503147,0,0,0
179,89,1,576,128,2,2,1,375,5503148,5527730,0,0,0
180,90,0,576,128,2,2,1,304,5527731,5565177,0,0,0
181,90,1,576,128,2,2,1,304,5565178,5585216,0,0,0
182,91,0,576,128,2,2,1,374,5585217,5622663,0,0,0
183,91,1,576,128,2,2,1,374,5622664,5647182,0,0,0
184,92,0,576,128,2,2,1,368,5647183,5684629,0,0,0
185,92,1,576,128,2,2,1,368,5684630,5708764,0,0,0
186,93,0,576,128,2,2,1,245,5708765,5746211,0,0,0
187,93,1,576,128,2,2,1,245,5746212,5762474,0,0,0
188,94,0,576,128,2,2,1,345,5762475,5799921,0,0,0
189,94,1,576,128,2,2,1,345,5799922,5822584,0,0,0
190,95,0,576,128,2,2,1,398,5822585,5860031,0,0,0
191,95,1,576,128,2,2,1,398,5860032,5886086,0,0,0
192,96,0,576,128,2,2,1,364,5886087,5923533,0,0,0
193,96,1,576,128,2,2,1,364,5923534,5947412,0,0,0
194,97,0,576,128,2,2,1,324,5947413,5984859,0,0,0
195,97,1,576,128,2,2,1,324,5984860,6006178,0,0,0
196,98,0,576,128,2,2,1,371,6006179,6043625,0,0,0
197,98,1,576,128,2,2,1,371,6043626,6067952,0,0,0
198,99,0,576,128,2,2,1,239,6067953,6105399,0,0,0
199,99,1,576,128,2,2,1,239,6105400,6121278,0,0,0
200,100,0,576,128,2,2,1,228,6121279,6158725,0,0,0
201,100,1,576,128,2,2,1,228,6158726,6173900,0,0,0
202,101,0,576,128,2,2,1,251,6173901,6211347,0,0,0
203,101,1,576,128,2,2,1,251,6211348,6227994,0,0,0
204,102,0,576,128,2,2,1,197,6227995,6265441,0,0,0
205,102,1,576,128,2,2,1,197,6265442,6278632,0,0,0
206,103,0,576,128,2,2,1,363,6278633,6316079,0,0,0
207,103,1,576,128,2,2,1,363,6316080,6339894,0,0,0
208,104,0,576,128,2,2,1,361,6339895,6377341,0,0,0
209,104,1,576,128,2,2,1,361,6377342,6401028,0,0,0
210,105,0,576,128,2,2,1,325,6401029,6438475,0,0,0
211,105,1,576,128,2,2,1,325,6438476,6459858,0,0,0
212,106,0,576,128,2,2,1,372,6459859,6497305,0,0,0
213,106,1,576,128,2,2,1,372,6497306,6521696,0,0,0
214,107,0,576,128,2,2,1,372,6521697,6559143,0,0,0
215,107,1,576,128,2,2,1,372,6559144,6583534,0,0,0
216,108,0,576,128,2,2,1,288,6583535,6620981,0,0,0
217,108,1,576,128,2,2,1,288,6620982,6639996,0,0,0
218,109,0,576,128,2,2,1,343,6639997,6677443,0,0,0
219,109,1,576,128,2,2,1,343,6677444,6699978,0,0,0
220,110,0,576,128,2,2,1,371,6699979,6737425,0,0,0
221,110,1,576,128,2,2,1,371,6737426,6761752,0,0,0
222,111,0,576,128,2,2,1,285,6761753,6799199,0,0,0
223,111,1,576,128,2,2,1,285,6799200,6818022,0,0,0
224,112,0,576,128,2,2,1,315,6818023,6855469,0,0,0
225,112,1,576,128,2,2,1,315,6855470,6876212,0,0,0
226,113,0,576,128,2,2,1,372,6876213,6913659,0,0,0
227,113,1,576,128,2,2,1,372,6913660,6938050,0,0,0
228,114,0,576,128,2,2,1,346,6938051,6975497,0,0,0
229,114,1,576,128,2,2,1,346,6975498,6998224,0,0,0
230,115,0,576,128,2,2,1,288,6998225,7035671,0,0,0
231,115,1,576,128,2,2,1,288,7035672,7054686,0,0,0
232,116,0,576,128,2,2,1,289,7054687,7092133,0,0,0
233,116,1,576,128,2,2,1,289,7092134,7111212,0,0,0
234,117,0,576,128,2,2,1,264,7111213,7148659,0,0,0
235,117,1,576,128,2,2,1,264,7148660,7166138,0,0,0
236,118,0,576,128,2,2,1,250,7166139,7203585,0,0,0
237,118,1,576,128,2,2,1,250,7203586,7220168,0,0,0
238,119,0,576,128,2,2,1,297,7220169,7257615,0,0,0
239,119,1,576,128,2,2,1,297,7257616,7277206,0,0,0
240,120,0,576,128,2,2,1,347,7277207,7314653,0,0,0
