window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,1,9,1,2,0,0,94,235,12,0,0
1,0,1,1,9,1,2,0,0,236,315,12,0,0
2,1,0,1,9,1,2,0,1,316,459,12,0,0
3,1,1,1,9,1,2,0,1,460,603,12,0,0
4,2,0,1,9,1,2,0,1,604,747,12,0,0
5,2,1,1,9,1,2,0,1,748,891,12,0,0
6,3,0,1,9,1,2,0,1,892,1035,12,0,0
7,3,1,1,9,1,2,0,1,1036,1179,12,0,0
8,4,0,1,9,1,2,0,0,1180,1323,12,0,0
9,4,1,1,9,1,2,0,0,1324,1403,12,0,0
10,5,0,1,9,1,2,0,0,1404,1547,12,0,0
11,5,1,1,9,1,2,0,0,1548,1627,12,0,0
