window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,1,9,1,2,3,2,0,105,182,12,0,0
1,0,1,1,9,1,2,3,2,0,107,247,12,0,0
2,1,0,1,9,1,2,3,2,1,167,326,12,0,0
3,1,1,1,9,1,2,3,2,1,232,391,12,0,0
4,2,0,1,9,1,2,3,2,1,311,470,12,0,0
5,2,1,1,9,1,2,3,2,1,376,535,12,0,0
6,3,0,1,9,1,2,3,2,1,455,614,12,0,0
7,3,1,1,9,1,2,3,2,1,520,679,12,0,0
8,4,0,1,9,1,2,3,2,0,599,758,12,0,0
9,4,1,1,9,1,2,3,2,0,664,823,12,0,0
10,5,0,1,9,1,2,3,2,0,743,902,12,0,0
11,5,1,1,9,1,2,3,2,0,808,967,12,0,0
