window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,2,3,2,0,97,160,12,0,0
1,0,1,9,9,2,3,2,0,107,193,12,0,0
2,1,0,9,9,2,3,2,9,152,240,12,0,0
3,1,1,9,9,2,3,2,9,177,288,12,0,0
4,2,0,9,9,2,3,2,1,235,334,12,0,0
5,2,1,9,9,2,3,2,1,280,367,12,0,0
6,3,0,9,9,2,3,2,2,325,414,12,0,0
7,3,1,9,9,2,3,2,2,351,447,12,0,0
8,4,0,9,9,2,3,2,3,402,494,12,0,0
9,4,1,9,9,2,3,2,3,432,527,12,0,0
10,5,0,9,9,2,3,2,4,482,574,12,0,0
11,5,1,9,9,2,3,2,4,513,607,12,0,0
12,6,0,9,9,2,3,2,5,562,654,12,0,0
13,6,1,9,9,2,3,2,5,594,687,12,0,0
14,7,0,9,9,2,3,2,6,642,734,12,0,0
15,7,1,9,9,2,3,2,6,675,767,12,0,0
16,8,0,9,9,2,3,2,7,722,814,12,0,0
17,8,1,9,9,2,3,2,7,756,848,12,0,0
18,9,0,9,9,2,3,2,8,802,894,12,0,0
19,9,1,9,9,2,3,2,8,838,928,12,0,0
20,10,0,9,9,2,3,2,9,883,976,12,0,0
21,10,1,9,9,2,3,2,9,923,1022,12,0,0
22,11,0,9,9,2,3,2,9,968,1070,12,0,0
23,11,1,9,9,2,3,2,9,1013,1118,12,0,0
24,12,0,9,9,2,3,2,4,1058,1152,12,0,0
25,12,1,9,9,2,3,2,4,1103,1198,12,0,0
26,13,0,9,9,2,3,2,0,1148,1232,12,0,0
27,13,1,9,9,2,3,2,0,1175,1265,12,0,0
