window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,8,3,2,0,97,158,12,0,0
1,0,1,9,9,8,3,2,0,107,191,12,0,0
2,1,0,9,9,8,3,2,9,125,224,12,0,0
3,1,1,9,9,8,3,2,9,146,257,12,0,0
4,2,0,9,9,8,3,2,1,199,302,12,0,0
5,2,1,9,9,8,3,2,1,232,335,12,0,0
6,3,0,9,9,8,3,2,2,265,368,12,0,0
7,3,1,9,9,8,3,2,2,290,401,12,0,0
8,4,0,9,9,8,3,2,3,343,446,12,0,0
9,4,1,9,9,8,3,2,3,369,479,12,0,0
10,5,0,9,9,8,3,2,4,409,512,12,0,0
11,5,1,9,9,8,3,2,4,436,545,12,0,0
12,6,0,9,9,8,3,2,5,487,590,12,0,0
13,6,1,9,9,8,3,2,5,515,623,12,0,0
14,7,0,9,9,8,3,2,6,553,656,12,0,0
15,7,1,9,9,8,3,2,6,582,689,12,0,0
16,8,0,9,9,8,3,2,7,631,734,12,0,0
17,8,1,9,9,8,3,2,7,661,767,12,0,0
18,9,0,9,9,8,3,2,8,697,800,12,0,0
19,9,1,9,9,8,3,2,8,728,833,12,0,0
20,10,0,9,9,8,3,2,9,775,878,12,0,0
21,10,1,9,9,8,3,2,9,807,911,12,0,0
22,11,0,9,9,8,3,2,9,841,944,12,0,0
23,11,1,9,9,8,3,2,9,874,977,12,0,0
24,12,0,9,9,8,3,2,4,919,1022,12,0,0
25,12,1,9,9,8,3,2,4,952,1055,12,0,0
26,13,0,9,9,8,3,2,0,985,1088,12,0,0
27,13,1,9,9,8,3,2,0,1013,1121,12,0,0
