window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,8,2,3,2,0,97,158,12,0,0
1,0,1,9,9,8,2,3,2,0,107,191,12,0,0
2,1,0,9,9,8,2,3,2,9,117,238,12,0,0
3,1,1,9,9,8,2,3,2,9,159,271,12,0,0
4,2,0,9,9,8,2,3,2,1,200,318,12,0,0
5,2,1,9,9,8,2,3,2,1,243,351,12,0,0
6,3,0,9,9,8,2,3,2,2,280,398,12,0,0
7,3,1,9,9,8,2,3,2,2,319,431,12,0,0
8,4,0,9,9,8,2,3,2,3,360,478,12,0,0
9,4,1,9,9,8,2,3,2,3,399,511,12,0,0
10,5,0,9,9,8,2,3,2,4,440,558,12,0,0
11,5,1,9,9,8,2,3,2,4,480,591,12,0,0
12,6,0,9,9,8,2,3,2,5,520,638,12,0,0
13,6,1,9,9,8,2,3,2,5,561,671,12,0,0
14,7,0,9,9,8,2,3,2,6,600,718,12,0,0
15,7,1,9,9,8,2,3,2,6,642,751,12,0,0
16,8,0,9,9,8,2,3,2,7,680,798,12,0,0
17,8,1,9,9,8,2,3,2,7,721,831,12,0,0
18,9,0,9,9,8,2,3,2,8,760,878,12,0,0
19,9,1,9,9,8,2,3,2,8,802,911,12,0,0
20,10,0,9,9,8,2,3,2,9,840,958,12,0,0
21,10,1,9,9,8,2,3,2,9,882,991,12,0,0
22,11,0,9,9,8,2,3,2,9,920,1038,12,0,0
23,11,1,9,9,8,2,3,2,9,963,1071,12,0,0
24,12,0,9,9,8,2,3,2,4,1000,1118,12,0,0
25,12,1,9,9,8,2,3,2,4,1043,1151,12,0,0
26,13,0,9,9,8,2,3,2,0,1080,1198,12,0,0
27,13,1,9,9,8,2,3,2,0,1122,1231,12,0,0
