window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,8,1,1,0,97,158,12,0,0
1,0,1,9,9,8,1,1,0,159,206,12,0,0
2,1,0,9,9,8,1,1,9,207,270,12,0,0
3,1,1,9,9,8,1,1,9,271,334,12,0,0
4,2,0,9,9,8,1,1,1,335,398,12,0,0
5,2,1,9,9,8,1,1,1,399,446,12,0,0
6,3,0,9,9,8,1,1,2,447,510,12,0,0
7,3,1,9,9,8,1,1,2,511,574,12,0,0
8,4,0,9,9,8,1,1,3,575,638,12,0,0
9,4,1,9,9,8,1,1,3,639,702,12,0,0
10,5,0,9,9,8,1,1,4,703,766,12,0,0
11,5,1,9,9,8,1,1,4,767,830,12,0,0
12,6,0,9,9,8,1,1,5,831,894,12,0,0
13,6,1,9,9,8,1,1,5,895,958,12,0,0
14,7,0,9,9,8,1,1,6,959,1022,12,0,0
15,7,1,9,9,8,1,1,6,1023,1086,12,0,0
16,8,0,9,9,8,1,1,7,1087,1150,12,0,0
17,8,1,9,9,8,1,1,7,1151,1214,12,0,0
18,9,0,9,9,8,1,1,8,1215,1278,12,0,0
19,9,1,9,9,8,1,1,8,1279,1342,12,0,0
20,10,0,9,9,8,1,1,9,1343,1406,12,0,0
21,10,1,9,9,8,1,1,9,1407,1470,12,0,0
22,11,0,9,9,8,1,1,9,1471,1534,12,0,0
23,11,1,9,9,8,1,1,9,1535,1598,12,0,0
24,12,0,9,9,8,1,1,4,1599,1662,12,0,0
25,12,1,9,9,8,1,1,4,1663,1726,12,0,0
26,13,0,9,9,8,1,1,0,1727,1790,12,0,0
27,13,1,9,9,8,1,1,0,1791,1838,12,0,0
