window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,8,2,3,4,0,97,158,12,0,0
1,0,1,9,9,8,2,3,4,0,107,191,12,0,0
2,1,0,9,9,8,2,3,4,9,117,238,12,0,0
3,1,1,9,9,8,2,3,4,9,159,271,12,0,0
4,2,0,9,9,8,2,3,4,1,196,318,12,0,0
5,2,1,9,9,8,2,3,4,1,241,351,12,0,0
6,3,0,9,9,8,2,3,4,2,276,398,12,0,0
7,3,1,9,9,8,2,3,4,2,319,431,12,0,0
8,4,0,9,9,8,2,3,4,3,356,478,12,0,0
9,4,1,9,9,8,2,3,4,3,399,511,12,0,0
10,5,0,9,9,8,2,3,4,4,436,558,12,0,0
11,5,1,9,9,8,2,3,4,4,479,591,12,0,0
12,6,0,9,9,8,2,3,4,5,516,638,12,0,0
13,6,1,9,9,8,2,3,4,5,560,671,12,0,0
14,7,0,9,9,8,2,3,4,6,596,718,12,0,0
15,7,1,9,9,8,2,3,4,6,640,751,12,0,0
16,8,0,9,9,8,2,3,4,7,676,798,12,0,0
17,8,1,9,9,8,2,3,4,7,721,831,12,0,0
18,9,0,9,9,8,2,3,4,8,756,878,12,0,0
19,9,1,9,9,8,2,3,4,8,801,911,12,0,0
20,10,0,9,9,8,2,3,4,9,836,958,12,0,0
21,10,1,9,9,8,2,3,4,9,880,991,12,0,0
22,11,0,9,9,8,2,3,4,9,916,1038,12,0,0
23,11,1,9,9,8,2,3,4,9,961,1071,12,0,0
24,12,0,9,9,8,2,3,4,4,996,1118,12,0,0
25,12,1,9,9,8,2,3,4,4,1041,1151,12,0,0
26,13,0,9,9,8,2,3,4,0,1076,1198,12,0,0
27,13,1,9,9,8,2,3,4,0,1120,1231,12,0,0
