window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,576,128,2,2,0,277,73863,111687,0,0,0
1,0,1,576,128,2,2,0,277,111688,130376,0,0,0
2,1,0,576,128,2,2,0,348,130377,168201,0,0,0
3,1,1,576,128,2,2,0,348,168202,191434,0,0,0
4,2,0,576,128,2,2,0,377,191435,229259,0,0,0
5,2,1,576,128,2,2,0,377,229260,254348,0,0,0
6,3,0,576,128,2,2,0,382,254349,292173,0,0,0
7,3,1,576,128,2,2,0,382,292174,317582,0,0,0
8,4,0,576,128,2,2,0,341,317583,355407,0,0,0
9,4,1,576,128,2,2,0,341,355408,378192,0,0,0
10,5,0,576,128,2,2,0,412,378193,416017,0,0,0
11,5,1,576,128,2,2,0,412,416018,443346,0,0,0
12,6,0,576,128,2,2,0,374,443347,481171,0,0,0
13,6,1,576,128,2,2,0,374,481172,506068,0,0,0
14,7,0,576,128,2,2,0,356,506069,543893,0,0,0
15,7,1,576,128,2,2,0,356,543894,567638,0,0,0
16,8,0,576,128,2,2,0,341,567639,605463,0,0,0
17,8,1,576,128,2,2,0,341,605464,628248,0,0,0
18,9,0,576,128,2,2,0,307,628249,666073,0,0,0
19,9,1,576,128,2,2,0,307,666074,686682,0,0,0
20,10,0,576,128,2,2,0,395,686683,724507,0,0,0
21,10,1,576,128,2,2,0,395,724508,750748,0,0,0
22,11,0,576,128,2,2,0,371,750749,788573,0,0,0
23,11,1,576,128,2,2,0,371,788574,813278,0,0,0
24,12,0,576,128,2,2,0,365,813279,851103,0,0,0
25,12,1,576,128,2,2,0,365,851104,875424,0,0,0
26,13,0,576,128,2,2,0,386,875425,913249,0,0,0
27,13,1,576,128,2,2,0,386,913250,938914,0,0,0
28,14,0,576,128,2,2,0,381,938915,976739,0,0,0
29,14,1,576,128,2,2,0,381,976740,1002084,0,0,0
30,15,0,576,128,2,2,0,357,1002085,1039909,0,0,0
31,15,1,576,128,2,2,0,357,1039910,1063718,0,0,0
32,16,0,576,128,2,2,0,381,1063719,1101543,0,0,0
33,16,1,576,128,2,2,0,381,1101544,1126888,0,0,0
34,17,0,576,128,2,2,0,403,1126889,1164713,0,0,0
35,17,1,576,128,2,2,0,403,1164714,1191466,0,0,0
36,18,0,576,128,2,2,0,357,1191467,1229291,0,0,0
37,18,1,576,128,2,2,0,357,1229292,1253100,0,0,0
38,19,0,576,128,2,2,0,342,1253101,1290925,0,0,0
39,19,1,576,128,2,2,0,342,1290926,1313774,0,0,0
40,20,0,576,128,2,2,0,378,1313775,1351599,0,0,0
41,20,1,576,128,2,2,0,378,1351600,1376752,0,0,0
42,21,0,576,128,2,2,0,379,1376753,1414577,0,0,0
43,21,1,576,128,2,2,0,379,1414578,1439794,0,0,0
44,22,0,576,128,2,2,0,385,1439795,1477619,0,0,0
45,22,1,576,128,2,2,0,385,1477620,1503220,0,0,0
46,23,0,576,128,2,2,0,229,1503221,1541045,0,0,0
47,23,1,576,128,2,2,0,229,1541046,1556662,0,0,0
48,24,0,576,128,2,2,0,364,1556663,1594487,0,0,0
49,24,1,576,128,2,2,0,364,1594488,1618744,0,0,0
50,25,0,576,128,2,2,0,334,1618745,1656569,0,0,0
51,25,1,576,128,2,2,0,334,1656570,1678906,0,0,0
52,26,0,576,128,2,2,0,343,1678907,1716731,0,0,0
53,26,1,576,128,2,2,0,343,1716732,1739644,0,0,0
54,27,0,576,128,2,2,0,381,1739645,1777469,0,0,0
55,27,1,576,128,2,2,0,381,1777470,1802814,0,0,0
56,28,0,576,128,2,2,0,313,1802815,1840639,0,0,0
57,28,1,576,128,2,2,0,313,1840640,1861632,0,0,0
58,29,0,576,128,2,2,0,374,1861633,1899457,0,0,0
59,29,1,576,128,2,2,0,374,1899458,1924354,0,0,0
60,30,0,576,128,2,2,0,371,1924355,1962179,0,0,0
61,30,1,576,128,2,2,0,371,1962180,1986884,0,0,0
62,31,0,576,128,2,2,0,386,1986885,2024709,0,0,0
63,31,1,576,128,2,2,0,386,2024710,2050374,0,0,0
64,32,0,576,128,2,2,0,393,2050375,2088199,0,0,0
65,32,1,576,128,2,2,0,393,2088200,2114312,0,0,0
66,33,0,576,128,2,2,0,410,2114313,2152137,0,0,0
67,33,1,576,128,2,2,0,410,2152138,2179338,0,0,0
68,34,0,576,128,2,2,0,369,2179339,2217163,0,0,0
69,34,1,576,128,2,2,0,369,2217164,2241740,0,0,0
70,35,0,576,128,2,2,0,361,2241741,2279565,0,0,0
71,35,1,576,128,2,2,0,361,2279566,2303630,0,0,0
72,36,0,576,128,2,2,0,373,2303631,2341455,0,0,0
73,36,1,576,128,2,2,0,373,2341456,2366288,0,0,0
74,37,0,576,128,2,2,0,386,2366289,2404113,0,0,0
75,37,1,576,128,2,2,0,386,2404114,2429778,0,0,0
76,38,0,576,128,2,2,0,374,2429779,2467603,0,0,0
