window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,3,3,2,0,97,139,4,0,0
1,0,1,9,9,3,3,2,0,107,152,4,0,0
2,1,0,9,9,3,3,2,9,134,176,4,0,0
3,1,1,9,9,3,3,2,9,144,203,4,0,0
4,2,0,9,9,3,3,2,1,171,232,4,0,0
5,2,1,9,9,3,3,2,1,198,241,4,0,0
6,3,0,9,9,3,3,2,2,225,267,4,0,0
7,3,1,9,9,3,3,2,2,235,280,4,0,0
8,4,0,9,9,3,3,2,3,262,304,4,0,0
9,4,1,9,9,3,3,2,3,272,317,4,0,0
10,5,0,9,9,3,3,2,4,299,344,4,0,0
11,5,1,9,9,3,3,2,4,309,359,4,0,0
12,6,0,9,9,3,3,2,5,338,382,4,0,0
13,6,1,9,9,3,3,2,5,350,397,4,0,0
14,7,0,9,9,3,3,2,6,377,424,4,0,0
15,7,1,9,9,3,3,2,6,392,443,4,0,0
16,8,0,9,9,3,3,2,7,419,472,4,0,0
17,8,1,9,9,3,3,2,7,437,490,4,0,0
18,9,0,9,9,3,3,2,8,464,520,4,0,0
19,9,1,9,9,3,3,2,8,485,541,4,0,0
20,10,0,9,9,3,3,2,9,512,568,4,0,0
21,10,1,9,9,3,3,2,9,536,599,4,0,0
22,11,0,9,9,3,3,2,9,563,622,4,0,0
23,11,1,9,9,3,3,2,9,590,649,4,0,0
24,12,0,9,9,3,3,2,4,617,680,4,0,0
25,12,1,9,9,3,3,2,4,644,689,4,0,0
26,13,0,9,9,3,3,2,0,671,716,4,0,0
27,13,1,9,9,3,3,2,0,684,729,4,0,0
