window,frame,sparse_mode,K,COUT,P,depth,implementation,banks,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
0,0,0,9,9,1,3,2,1,0,97,191,12,0,0
1,0,1,9,9,1,3,2,1,0,107,239,12,0,0
2,1,0,9,9,1,3,2,1,9,188,318,12,0,0
3,1,1,9,9,1,3,2,1,9,224,398,12,0,0
4,2,0,9,9,1,3,2,1,1,310,479,12,0,0
5,2,1,9,9,1,3,2,1,1,391,527,12,0,0
6,3,0,9,9,1,3,2,1,2,472,606,12,0,0
7,3,1,9,9,1,3,2,1,2,512,654,12,0,0
8,4,0,9,9,1,3,2,1,3,598,734,12,0,0
9,4,1,9,9,1,3,2,1,3,640,782,12,0,0
10,5,0,9,9,1,3,2,1,4,721,862,12,0,0
11,5,1,9,9,1,3,2,1,4,769,910,12,0,0
12,6,0,9,9,1,3,2,1,5,850,990,12,0,0
13,6,1,9,9,1,3,2,1,5,898,1038,12,0,0
14,7,0,9,9,1,3,2,1,6,979,1118,12,0,0
15,7,1,9,9,1,3,2,1,6,1027,1168,12,0,0
16,8,0,9,9,1,3,2,1,7,1108,1262,12,0,0
17,8,1,9,9,1,3,2,1,7,1164,1326,12,0,0
18,9,0,9,9,1,3,2,1,8,1247,1406,12,0,0
19,9,1,9,9,1,3,2,1,8,1311,1471,12,0,0
20,10,0,9,9,1,3,2,1,9,1392,1551,12,0,0
21,10,1,9,9,1,3,2,1,9,1464,1631,12,0,0
22,11,0,9,9,1,3,2,1,9,1545,1711,12,0,0
23,11,1,9,9,1,3,2,1,9,1626,1791,12,0,0
24,12,0,9,9,1,3,2,1,4,1707,1872,12,0,0
25,12,1,9,9,1,3,2,1,4,1788,1920,12,0,0
26,13,0,9,9,1,3,2,1,0,1869,2014,12,0,0
27,13,1,9,9,1,3,2,1,0,1914,2062,12,0,0
