name,vector,K,COUT,P,DEPTH,N,IMPL,STALL_LEN,PATTERN,INPUT_GAPS,MODE_SEQ,RESET_TEST,T,checked_values,windows,cycle_rows,cycle_model_mismatches,total_cycles,cycles_per_window,mean_dense_latency,mean_sparse_latency
v2_evaluation_p16_d2_s0,evaluation,576,128,16,2,512,1,0,0,0,2,0,1,131072,1024,1024,0,4313095,4212.0068359375,5204.0,3218.015625
v2_evaluation_p2_d2_s0,evaluation,576,128,2,2,512,1,0,0,0,2,0,1,131072,1024,1024,0,30211135,29503.0615234375,37446.0,21558.125
v2_evaluation_p32_d2_s0,evaluation,576,128,32,2,512,1,0,0,0,2,0,1,131072,1024,1024,0,2478595,2420.5029296875,2916.0,1923.0078125
v2_evaluation_p8_d2_s0,evaluation,576,128,8,2,512,1,0,0,0,2,0,1,131072,1024,1024,0,8006671,7819.0146484375,9804.0,5832.03125
v2_evaluation_p8_d2_s12,evaluation,576,128,8,2,512,1,12,0,0,2,0,1,131072,1024,1024,0,8026128,7838.015625,9823.001953125,5851.03125
v2_gaps_pattern0,synthetic_k27_c9,27,9,4,2,32,1,12,0,1,2,1,1,576,64,64,0,7213,112.703125,126.65625,96.78125
v2_gaps_pattern1,synthetic_k27_c9,27,9,4,2,32,1,12,1,1,2,1,1,576,64,64,0,6712,104.875,122.4375,85.34375
v2_gaps_pattern2,synthetic_k27_c9,27,9,4,2,32,1,12,2,1,2,1,1,576,64,64,0,6877,107.453125,128.1875,84.75
v2_minimum_p1,synthetic_k1_c9,1,9,1,2,6,1,12,0,0,2,1,1,108,12,12,0,957,79.75,78.66666666666667,79.0
v2_minimum_p8,synthetic_k1_c9,1,9,8,2,6,1,12,0,0,2,1,1,108,12,12,0,573,47.75,46.666666666666664,47.0
v2_modeseq0_p4_d2,synthetic_k27_c9,27,9,4,2,32,1,0,0,0,0,0,1,288,32,32,0,3647,113.96875,113.0,
v2_modeseq1_p4_d2,synthetic_k27_c9,27,9,4,2,32,1,0,0,0,1,0,1,288,32,32,0,2420,75.625,,74.65625
v2_small_p1_d1_s0,synthetic_k9_c9,9,9,1,1,14,1,0,0,0,2,0,1,252,28,28,0,2806,100.21428571428571,119.0,79.5
v2_small_p1_d1_s12,synthetic_k9_c9,9,9,1,1,14,1,12,0,0,2,0,1,252,28,28,0,4237,151.32142857142858,158.85714285714286,141.85714285714286
v2_small_p1_d2_s0,synthetic_k9_c9,9,9,1,2,14,1,0,0,0,2,0,1,252,28,28,0,2194,78.35714285714286,95.0,59.785714285714285
v2_small_p1_d2_s12,synthetic_k9_c9,9,9,1,2,14,1,12,0,0,2,0,1,252,28,28,0,2845,101.60714285714286,110.64285714285714,90.64285714285714
v2_small_p1_d3_s0,synthetic_k9_c9,9,9,1,3,14,1,0,0,0,2,0,1,252,28,28,0,2184,78.0,95.0,59.07142857142857
v2_small_p1_d3_s12,synthetic_k9_c9,9,9,1,3,14,1,12,0,0,2,0,1,252,28,28,0,2413,86.17857142857143,95.21428571428571,75.21428571428571
v2_small_p2_d1_s0,synthetic_k9_c9,9,9,2,1,14,1,0,0,0,2,0,1,252,28,28,0,1818,64.92857142857143,75.0,52.92857142857143
v2_small_p2_d1_s12,synthetic_k9_c9,9,9,2,1,14,1,12,0,0,2,0,1,252,28,28,0,2544,90.85714285714286,94.64285714285714,85.14285714285714
v2_small_p2_d2_s0,synthetic_k9_c9,9,9,2,2,14,1,0,0,0,2,0,1,252,28,28,0,1414,50.5,59.0,40.07142857142857
v2_small_p2_d2_s12,synthetic_k9_c9,9,9,2,2,14,1,12,0,0,2,0,1,252,28,28,0,1840,65.71428571428571,70.07142857142857,59.42857142857143
v2_small_p2_d3_s0,synthetic_k9_c9,9,9,2,3,14,1,0,0,0,2,0,1,252,28,28,0,1406,50.214285714285715,59.0,39.5
v2_small_p2_d3_s12,synthetic_k9_c9,9,9,2,3,14,1,12,0,0,2,0,1,252,28,28,0,1728,61.714285714285715,63.357142857142854,58.142857142857146
v2_small_p4_d1_s0,synthetic_k9_c9,9,9,4,1,14,1,0,0,0,2,0,1,252,28,28,0,1324,47.285714285714285,53.0,39.642857142857146
v2_small_p4_d1_s12,synthetic_k9_c9,9,9,4,1,14,1,12,0,0,2,0,1,252,28,28,0,1741,62.17857142857143,62.857142857142854,59.57142857142857
v2_small_p4_d2_s0,synthetic_k9_c9,9,9,4,2,14,1,0,0,0,2,0,1,252,28,28,0,1030,36.785714285714285,41.0,30.642857142857142
v2_small_p4_d2_s12,synthetic_k9_c9,9,9,4,2,14,1,12,0,0,2,0,1,252,28,28,0,1677,59.892857142857146,62.214285714285715,55.642857142857146
v2_small_p4_d3_s0,synthetic_k9_c9,9,9,4,3,14,1,0,0,0,2,0,1,252,28,28,0,1024,36.57142857142857,41.0,30.214285714285715
v2_small_p4_d3_s12,synthetic_k9_c9,9,9,4,3,14,1,12,0,0,2,0,1,252,28,28,0,1677,59.892857142857146,62.214285714285715,55.642857142857146
v2_small_p8_d1_s0,synthetic_k9_c9,9,9,8,1,14,1,0,0,0,2,0,1,252,28,28,0,1077,38.464285714285715,42.0,33.0
v2_small_p8_d1_s12,synthetic_k9_c9,9,9,8,1,14,1,12,0,0,2,0,1,252,28,28,0,1741,62.17857142857143,62.857142857142854,59.57142857142857
v2_small_p8_d2_s0,synthetic_k9_c9,9,9,8,2,14,1,0,0,0,2,0,1,252,28,28,0,849,30.321428571428573,32.0,26.714285714285715
v2_small_p8_d2_s12,synthetic_k9_c9,9,9,8,2,14,1,12,0,0,2,0,1,252,28,28,0,1677,59.892857142857146,62.214285714285715,55.642857142857146
v2_small_p8_d3_s0,synthetic_k9_c9,9,9,8,3,14,1,0,0,0,2,0,1,252,28,28,0,849,30.321428571428573,32.0,26.714285714285715
v2_small_p8_d3_s12,synthetic_k9_c9,9,9,8,3,14,1,12,0,0,2,0,1,252,28,28,0,1677,59.892857142857146,62.214285714285715,55.642857142857146
v3_calibration_p2_d2_s0,calibration,576,128,2,2,512,2,0,0,0,2,0,1,131072,1024,1024,0,29869509,29169.4423828125,58306.001953125,58341.75
v3_edge_k1_c1_p1_d1_s0,synthetic_k1_c1,1,1,1,1,6,2,0,0,0,2,0,1,12,12,12,0,50,4.166666666666667,10.0,10.5
v3_edge_k1_c1_p8_d2_s12,synthetic_k1_c1,1,1,8,2,6,2,12,0,0,2,0,1,12,12,12,0,94,7.833333333333333,27.0,26.0
v3_edge_k1_c9_p1_d4_s0,synthetic_k1_c9,1,9,1,4,6,2,0,0,0,2,0,1,108,12,12,0,113,9.416666666666666,19.833333333333332,21.0
v3_edge_k1_c9_p3_d2_s12,synthetic_k1_c9,1,9,3,2,6,2,12,0,0,2,0,1,108,12,12,0,432,36.0,86.66666666666667,91.83333333333333
v3_edge_k9_c17_p8_d2_s4,synthetic_k9_c17,9,17,8,2,14,2,4,0,0,2,0,1,476,28,28,0,880,31.428571428571427,65.21428571428571,69.07142857142857
v3_edge_k9_c9_p3_d3_s4,synthetic_k9_c9,9,9,3,3,14,2,4,0,0,2,0,1,252,28,28,0,632,22.571428571428573,49.785714285714285,50.42857142857143
v3_edge_k9_c9_p8_d8_s12,synthetic_k9_c9,9,9,8,8,14,2,12,0,0,2,0,1,252,28,28,0,1024,36.57142857142857,179.85714285714286,187.71428571428572
v3_evaluation_p128_d2_s0,evaluation,576,128,128,2,512,2,0,0,0,2,0,1,131072,1024,1024,0,591194,577.337890625,1283.0,1034.751953125
v3_evaluation_p16_d2_s0,evaluation,576,128,16,2,512,2,0,0,0,2,0,1,131072,1024,1024,0,3702363,3615.5888671875,7245.767578125,7248.015625
v3_evaluation_p2_d2_s0,evaluation,576,128,2,2,512,2,0,0,0,2,0,1,131072,1024,1024,0,29614725,28920.6298828125,57818.251953125,57844.125
v3_evaluation_p32_d2_s0,evaluation,576,128,32,2,512,2,0,0,0,2,0,1,131072,1024,1024,0,1851495,1808.1005859375,3648.447265625,3649.0078125
v3_evaluation_p64_d2_s0,evaluation,576,128,64,2,512,2,0,0,0,2,0,1,131072,1024,1024,0,932604,910.74609375,1886.51953125,1873.50390625
v3_evaluation_p8_d2_s0,evaluation,576,128,8,2,512,2,0,0,0,2,0,1,131072,1024,1024,0,7404123,7230.5888671875,14464.408203125,14470.03125
v3_evaluation_p8_d2_s12,evaluation,576,128,8,2,512,2,12,0,0,2,0,1,131072,1024,1024,0,7404144,7230.609375,14485.408203125,14491.03125
v3_gaps_pattern0,synthetic_k27_c9,27,9,4,2,32,2,12,0,1,2,1,1,576,64,64,0,4398,68.71875,147.625,145.15625
v3_gaps_pattern1,synthetic_k27_c9,27,9,4,2,32,2,12,1,1,2,1,1,576,64,64,0,4234,66.15625,136.6875,129.15625
v3_gaps_pattern2,synthetic_k27_c9,27,9,4,2,32,2,12,2,1,2,1,1,576,64,64,0,4364,68.1875,140.34375,133.90625
v3_minimum_p1,synthetic_k1_c9,1,9,1,2,6,2,12,0,0,2,1,1,108,12,12,0,862,71.83333333333333,145.33333333333334,155.83333333333334
v3_minimum_p8,synthetic_k1_c9,1,9,8,2,6,2,12,0,0,2,1,1,108,12,12,0,478,39.833333333333336,111.66666666666667,106.0
v3_modeseq0_p4_d2,synthetic_k27_c9,27,9,4,2,32,2,0,0,0,0,0,1,288,32,32,0,2623,81.96875,163.34375,
v3_modeseq1_p4_d2,synthetic_k27_c9,27,9,4,2,32,2,0,0,0,1,0,1,288,32,32,0,1520,47.5,,92.90625
v3_small_p1_d1_s0,synthetic_k9_c9,9,9,1,1,14,2,0,0,0,2,0,1,252,28,28,0,2521,90.03571428571429,180.28571428571428,182.14285714285714
v3_small_p1_d1_s12,synthetic_k9_c9,9,9,1,1,14,2,12,0,0,2,0,1,252,28,28,0,4045,144.46428571428572,285.14285714285717,298.2142857142857
v3_small_p1_d2_s0,synthetic_k9_c9,9,9,1,2,14,2,0,0,0,2,0,1,252,28,28,0,1801,64.32142857142857,130.21428571428572,130.71428571428572
v3_small_p1_d2_s12,synthetic_k9_c9,9,9,1,2,14,2,12,0,0,2,0,1,252,28,28,0,2430,86.78571428571429,176.85714285714286,181.64285714285714
v3_small_p1_d3_s0,synthetic_k9_c9,9,9,1,3,14,2,0,0,0,2,0,1,252,28,28,0,1777,63.464285714285715,128.85714285714286,129.0
v3_small_p1_d3_s12,synthetic_k9_c9,9,9,1,3,14,2,12,0,0,2,0,1,252,28,28,0,1965,70.17857142857143,145.07142857142858,148.71428571428572
v3_small_p2_d1_s0,synthetic_k9_c9,9,9,2,1,14,2,0,0,0,2,0,1,252,28,28,0,1517,54.17857142857143,109.42857142857143,110.42857142857143
v3_small_p2_d1_s12,synthetic_k9_c9,9,9,2,1,14,2,12,0,0,2,0,1,252,28,28,0,2253,80.46428571428571,160.78571428571428,169.28571428571428
v3_small_p2_d2_s0,synthetic_k9_c9,9,9,2,2,14,2,0,0,0,2,0,1,252,28,28,0,1017,36.32142857142857,74.64285714285714,74.71428571428571
v3_small_p2_d2_s12,synthetic_k9_c9,9,9,2,2,14,2,12,0,0,2,0,1,252,28,28,0,1391,49.67857142857143,107.0,107.07142857142857
v3_small_p2_d3_s0,synthetic_k9_c9,9,9,2,3,14,2,0,0,0,2,0,1,252,28,28,0,1002,35.785714285714285,73.71428571428571,73.5
v3_small_p2_d3_s12,synthetic_k9_c9,9,9,2,3,14,2,12,0,0,2,0,1,252,28,28,0,1168,41.714285714285715,90.28571428571429,94.64285714285714
v3_small_p4_d1_s0,synthetic_k9_c9,9,9,4,1,14,2,0,0,0,2,0,1,252,28,28,0,1015,36.25,74.0,74.57142857142857
v3_small_p4_d1_s12,synthetic_k9_c9,9,9,4,1,14,2,12,0,0,2,0,1,252,28,28,0,1357,48.464285714285715,97.21428571428571,103.42857142857143
v3_small_p4_d2_s0,synthetic_k9_c9,9,9,4,2,14,2,0,0,0,2,0,1,252,28,28,0,635,22.678571428571427,47.5,47.285714285714285
v3_small_p4_d2_s12,synthetic_k9_c9,9,9,4,2,14,2,12,0,0,2,0,1,252,28,28,0,1134,40.5,97.21428571428571,91.21428571428571
v3_small_p4_d3_s0,synthetic_k9_c9,9,9,4,3,14,2,0,0,0,2,0,1,252,28,28,0,623,22.25,46.642857142857146,46.5
v3_small_p4_d3_s12,synthetic_k9_c9,9,9,4,3,14,2,12,0,0,2,0,1,252,28,28,0,1024,36.57142857142857,91.35714285714286,95.92857142857143
v3_small_p8_d1_s0,synthetic_k9_c9,9,9,8,1,14,2,0,0,0,2,0,1,252,28,28,0,764,27.285714285714285,56.285714285714285,56.642857142857146
v3_small_p8_d1_s12,synthetic_k9_c9,9,9,8,1,14,2,12,0,0,2,0,1,252,28,28,0,1357,48.464285714285715,97.21428571428571,103.42857142857143
v3_small_p8_d2_s0,synthetic_k9_c9,9,9,8,2,14,2,0,0,0,2,0,1,252,28,28,0,486,17.357142857142858,36.785714285714285,37.857142857142854
v3_small_p8_d2_s12,synthetic_k9_c9,9,9,8,2,14,2,12,0,0,2,0,1,252,28,28,0,1134,40.5,106.71428571428571,106.07142857142857
v3_small_p8_d3_s0,synthetic_k9_c9,9,9,8,3,14,2,0,0,0,2,0,1,252,28,28,0,440,15.714285714285714,33.57142857142857,34.142857142857146
v3_small_p8_d3_s12,synthetic_k9_c9,9,9,8,3,14,2,12,0,0,2,0,1,252,28,28,0,1024,36.57142857142857,99.71428571428571,105.14285714285714
